ID,ENTRYTYPE,author,title,year,doi,url,abstract,journal,booktitle,volume,number,pages,publisher,keywords,series,location,numpages,address,isbn,articleno,month,issn,issue_date,note
10.1145/3726301.3732296,inproceedings,"Luo, Waylon and Baheri, Betis and Humble, Travis and Zhao, Jiapeng and Zhan, Tong and Maharjan, Rajan and Guan, Qiang",A Digital Twin of Scalable Quantum Clouds,2025,10.1145/3726301.3732296,https://doi.org/10.1145/3726301.3732296,"Quantum computing has emerged as a transformative technology capable of solving complex problems beyond the limit of classical systems. The rapid development of quantum processors has led to the proliferation of cloud-based quantum computing services offered by platforms such as IBM, Google, and Amazon. These platforms introduce unique challenges in resource allocation, job scheduling, and multi-device orchestration as quantum workloads become increasingly complex. In this work, we present a digital twin of quantum cloud infrastructures: a framework designed to model and simulate the behavior of real quantum cloud systems. Developed in Python using the SimPy discrete-event simulation library, the framework replicates key aspects of quantum cloud environments, including detailed quantum device modeling, job lifecycle management, and job fidelity. It incorporates noise-aware fidelity estimation, making it the first of its kind to simulate superconducting gate-based quantum cloud systems at an administrative level with job fidelity. We present use cases as proof of concept, demonstrating that our quantum cloud simulation framework can act as a digital twin of a quantum cloud and support the modeling and implementation of practical systems.",,Proceedings of the 39th ACM SIGSIM Conference on Principles of Advanced Discrete Simulation,,,165–175,Association for Computing Machinery,"Quantum cloud computing, digital twins, quantum job scheduling, simulation frameworks",SIGSIM-PADS '25,,11,"New York, NY, USA",9798400715914,,,,,
10.1145/3672608.3707725,inproceedings,"Khan, Arif and Taibi, Davide and M. Perrault, C\'{e}cile and Akbar, Muhammad Azeem",Advancing Quantum Software Engineering: A Vision of Hybrid Full-Stack Iterative Model,2025,10.1145/3672608.3707725,https://doi.org/10.1145/3672608.3707725,"This paper introduces a vision for Quantum Software Development lifecycle, proposing a hybrid full-stack iterative model that integrates quantum and classical computing. Addressing the current challenges in Quantum Computing (QC) such as the need for integrating diverse programming languages and managing the complexities of quantum-classical systems, this model is rooted in the principles of DevOps and continuous software engineering. It presents a comprehensive lifecycle for quantum software development, encompassing quantum-agnostic coding, testing, deployment, cloud computing services, orchestration, translation, execution, and interpretation phases. Each phase is designed to accommodate the unique demands of QC, enabling traditional software developers to engage with QC environments without needing in-depth QC expertise. The paper presents a detailed implementation roadmap, utilizing a range of existing tools and frameworks, thereby making quantum software development more accessible and efficient. The proposed model not only addresses current challenges in quantum software development but also makes a substantial contribution to the field of Quantum Software Engineering (QSE). By proposing a structured and accessible model, it sets the stage for further advancements and research in QSE, enhancing its practicality and relevance in a wide range of applications.",,Proceedings of the 40th ACM/SIGAPP Symposium on Applied Computing,,,1444–1448,Association for Computing Machinery,"quantum computing, quantum software engineering, hybrid quantum software development",SAC '25,"Catania International Airport, Catania, Italy",5,"New York, NY, USA",9798400706295,,,,,
10.1145/3726302.3730298,inproceedings,"Pasin, Andrea and Ferro, Nicola",KIMERA: From Evaluation-as-a-Service to Evaluation-in-the-Cloud,2025,10.1145/3726302.3730298,https://doi.org/10.1145/3726302.3730298,"Experimental evaluation steers the development of Information Retrieval (IR) systems, and large-scale evaluation campaigns provide the field with a common infrastructure to conduct comparable evaluation exercises. Over the years, tools and platforms have been developed to manage and automate these activities, enhance the reproducibility of conducted experiments and facilitate data sharing. In this context, Evaluation-as-a-Service (EaaS) emerged as an approach to avoid distributing experimental collections, which may contain copyrighted or sensitive data, and instead execute containerised code on that data on remote servers. We propose Kubernetes Infrastructure for Managed Evaluation and Resource Access (KIMERA) as the next step from EaaS into Evaluation-in-the-Cloud (EitC), allowing researchers to directly code and execute their systems through their browsers, requiring only an internet connection. Moreover, recent advancements, such as Large Language Models, or new computing paradigms, such as quantum computers, require external third party services and computational resources. In this respect, KIMERA streamlines and simplifies access to such services on-demand via their APIs. More in detail, KIMERA relies on state-of-the-art containerization and orchestration tools, such as Docker and Kubernetes, to provide a robust, scalable, secure, and fault-tolerant IR evaluation platform. KIMERA monitors and stores all the participants' submissions, accurately keeping track of the resource usage, allowing for evaluating both the efficiency and the effectiveness of the deployed methods. Moreover, all participants can be assigned workspaces sharing the same resources (i.e., CPU and RAM), thus enhancing reproducibility and comparability among systems. Finally, KIMERA has been designed with modularity and extensibility in mind, allowing it to be easily adapted to new use cases and usage scenarios. KIMERA has been developed and adopted in the context of the QuantumCLEF lab, to allow for mixed experiments, comparing approaches running on traditional hardware and on real quantum annealers provided by external companies. KIMERA has also been used as a learning resource to provide Quantum Computing tutorials for IR at major conferences, such as ECIR and SIGIR. The source code of KIMERA is openly available at https://github.com/MjPaxter/KIMERA.",,Proceedings of the 48th International ACM SIGIR Conference on Research and Development in Information Retrieval,,,3584–3594,Association for Computing Machinery,"docker, evaluation, information retrieval, infrastructure, kubernetes, large language models, quantum computing, reproducibility",SIGIR '25,"Padua, Italy",11,"New York, NY, USA",9798400715921,,,,,
10.1145/3749096.3750033,inproceedings,"Yu, Se-young and Zhang, Liang and Kissel, Ezra and Wu, Wenji and Monga, Inder",An extensible control plane software architecture for quantum networking research,2025,10.1145/3749096.3750033,https://doi.org/10.1145/3749096.3750033,"As quantum networking experiments move from laboratory experiments to larger scale deployments, integrated control software becomes essential for managing complex interactions between the numerous distributed resources involved. While a number of laboratory-scale control systems have been developed for specific quantum platform demonstrations, an openly available and general solution for operating quantum networks has not emerged. With the QUANT-NET Control Plane (QNCP), we introduce a model-based, extensible control plane implementation that offers a framework for enabling network-wide orchestration in quantum information network environments. QCNP provides a quantum network data model, resource management, communication primitives, and a plugin interface for defining orchestration and protocol interactions across distributed quantum network devices and services. This paper describes the design and architecture of QNCP, its implementation, and opportunities for extensibility and deployment.",,Proceedings of the 2nd Workshop on Quantum Networks and Distributed Quantum Computing,,,35–41,Association for Computing Machinery,"network control, orchestration, quantum network, quantum testbed",QuNet '25,"Coimbra, Portugal",7,"New York, NY, USA",9798400720970,,,,,
10.1145/3799895,article,"Petru\v{c}eundefineda, Kri\v{s}jundefinednis and Kozlovi\v{c}s, Sergejs and Kalniundefineda, Elundefinedna and Rencis, Edgars and Vundefinedksna, Juris and Celms, Edgars and Lundefinedce, Lelde",Integrating Remote Quantum Random Number Generator as a Shared Resource into GNU/Linux via D-Bus,2026,10.1145/3799895,https://doi.org/10.1145/3799895,"The random number generation capabilities of the GNU/Linux operating system are subject to certain limitations. As of Linux version 5.6, /dev/random operates in a non-blocking manner and, as such, no longer satisfies the criteria for a True Random Number Generator (TRNG). While dedicated quantum random number generator (QRNG) hardware is the preferred source of unpredictable entropy, it is often expensive and difficult to deploy in virtualized/cloud environments and Internet of Things (IoT) devices. Furthermore, hardware RNG integration typically requires cryptographic applications to adhere to vendor-specific APIs.This article proposes a user-space integration approach for a shared, potentially remote QRNG device. We develop a QRNG service on top of D-Bus, a ubiquitous inter-process communication framework. It serves as an interface for applications to retrieve true random numbers. Communication with the remote QRNG device occurs over mutually authenticated TLS 1.3 channels, protected by post-quantum cryptography (PQC) algorithms. We show, as a proof-of-concept, how the proposed D-Bus service can be integrated into the OpenSSL 3 cryptographic library, demonstrating the use of TRNG in a wide range of Linux applications.Our approach is resistant to entropy starvation attacks, supports sharing a QRNG across host and virtualized environments, requires no kernel-level or system-wide modifications, supports mixing multiple sources of entropy, and configuration of post-processing. It provides applications with a TRNG interface suitable for information-theoretically secure (ITS) use cases.",ACM Trans. Priv. Secur.,,29,2,,Association for Computing Machinery,"QRNG, linux, d-bus, post-quantum cryptography",,,18,"New York, NY, USA",,23,April,2471-2566,May 2026,
10.1145/3774905.3794680,inproceedings,"Kamal, Md Sarwar and Nimmy, Sonia Farhana and Chakrabortty, Ripon and Hossain, Md Zakir and Islam, Md Rafiqul",How Quantum Period Finding Breaks Rivest Shamir Adleman Algorithms,2026,10.1145/3774905.3794680,https://doi.org/10.1145/3774905.3794680,"The Rivest Shamir Adleman (RSA) algorithm underpins much of modern digital security. It protects messages, passwords, and web services. However, advances in quantum computing pose a long-term threat to RSA, as quantum algorithms can exploit its mathematical structure. In this paper, we analyze how quantum computation can undermine the RSA algorithm using an explainable, dictionary-based quantum emulation framework. In this approach, each quantum state is represented as dict[k] = a, where k is a bitstring and a is a complex amplitude, enabling transparent tracking of quantum state evolution. We emulate key quantum gates through updated rules. The Hadamard gate creates superposition by splitting dictionary keys; phase gates modify amplitudes via complex rotations; and controlled-X and Toffoli gates perform conditional bit flips. These operations are consistent with standard quantum gate behaviour while remaining easy to analyse. We defined RSA variables such as prime_p, prime_q, modulus_n, public_key_e, private_key_d, cipher_c, input_x, and period_r. We demonstrated how quantum processes can identify periodic structure, factor the modulus, and recover the private key. By revealing the full attack path, this research provides an interpretable view of quantum threats to the RSA algorithm. The proposed framework supports a useful understanding of quantum security risks. It also highlights the importance of transitioning toward post-quantum cryptographic systems that ensure long-term security for all users.",,Companion Proceedings of the ACM Web Conference 2026,,,1286–1294,Association for Computing Machinery,"rivest shamir adleman (rsa) algorithm, shor's algorithm, dictionary-based quantum simulation, post-quantum cryptography, web security, responsible web ai",WWW Companion '26,United Arab Emirates,9,"New York, NY, USA",9798400723087,,,,,
10.1145/3696673.3723063,inproceedings,"Vyas, Arshiya and Lo, Dan and Zhang, Xinyue",A Comparison of Classical and Quantum Neural Network Algorithms for Malware Detection,2025,10.1145/3696673.3723063,https://doi.org/10.1145/3696673.3723063,"In recent years, malicious software has risen in both number and effectiveness of attacks, particularly due to the increased utilization of machine learning and even quantum computing by cybercriminals. This research addresses the disparity between these rapidly progressing technologies and the lack of advanced cybersecurity systems in nearly half of all American small businesses by creating accessible malware detection software on Google Colaboratory, a cloud-based software hosting service. Neural networks (NN), a common machine learning model for cybersecurity tasks, were created with both classical and simulated quantum computing using Python libraries, starter code, and an Android malware dataset. The average F1 score of accuracy of the classical NN, 0.6928, was slightly higher than the average F1 score of the quantum NN, 0.6406. However, a two-sample t-test found that the true means of both populations of F1 scores were statistically equal, indicating no difference in accuracy between classical and simulated quantum neural networks at this time. Differences in resource efficiency could not accurately be assessed, because although the quantum neural network was simulated on a classical computer and had a much higher runtime, a quantum neural network running on a quantum computer can be significantly faster than a classical neural network running on a classical computer for certain types of problems; this is because of unique quantum properties like superposition and entanglement that allow complex calculations to be performed much more efficiently. This research does find, however, that features related to the services or transactions of Android applications had higher correlations with malicious/benign software status, the change in runtime of a classical NN on Google Colaboratory was roughly linear over a large range of sample sizes, and two iterations of text segments and comments within the software improved the usability of the tool. Overall, the study develops a methodology for creating and evaluating open-source quantum and classical machine learning cybersecurity software for small businesses.",,Proceedings of the 2025 ACM Southeast Conference,,,134–144,Association for Computing Machinery,"machine learning, malware detection, quantum computing, neural network (NN), cybersecurity",ACMSE 2025,"Southeast Missouri State University, Cape Girardeau, MO, USA",11,"New York, NY, USA",9798400712777,,,,,
10.1145/3805807,article,"Garcia-Alonso, Jose and Moguel, Enrique and Alvarado-Valiente, Jaime and Romero-Alvarez, Javier and Aparicio-Morales, \'{A}lvaro M. and Murillo, Juan M. and Cavero, Francisco Javier and Romero-Flores, Adri\'{a}n and Marquez-Chamorro, Alfonso E. and Parejo, Jos\'{e} Antonio and Ruiz-Cort\'{e}s, Antonio and Bisicchia, Giuseppe and Bocci, Alessandro and Brogi, Antonio",Rethinking Services in the Quantum Age: The SOQ Paradigm,2026,10.1145/3805807,https://doi.org/10.1145/3805807,"Quantum computing is rapidly progressing from theoretical promise to practical implementation, offering significant computational advantages for tasks in optimization, simulation, cryptography, and machine learning. However, its integration into real-world software systems remains constrained by hardware fragility, platform heterogeneity, and the absence of robust software engineering practices. This paper introduces Service-Oriented Quantum (SOQ), a novel paradigm that reimagines quantum software systems through the lens of classical service-oriented computing. Unlike prior approaches such as Quantum Service-Oriented Computing (QSOC), which treat quantum capabilities as auxiliary components within classical systems, SOQ positions quantum services as autonomous, composable, and interoperable entities. We define the foundational principles of SOQ, propose a layered technology stack to support its realization, a reference architecture for defining quantum services based on the good implementation of a classical service, and identify the key research and engineering challenges that must be addressed, including interoperability, hybridity, pricing models, service abstractions, and workforce development. This approach is of vital importance for the advancement of quantum technology because it enables the scalable, modular, and interoperable integration of quantum computing into real-world software systems independently and without relying on a dedicated classical environment to manage quantum processing.",ACM Trans. Softw. Eng. Methodol.,,,,,Association for Computing Machinery,"Quantum Computing, Quantum Software Engineering, Service-Oriented Quantum",,,,"New York, NY, USA",,,April,1049-331X,,Just Accepted
10.1145/3774905.3794699,inproceedings,"Lee, Junyong and Cho, Jeihee and Jung, Hyeonseong and Lee, Euimin and Choi, Yunah and Son, Seokhyeon and Kim, Shiho",Blind-QEM: A Privacy-Preserving Framework for Quantum Error Mitigation via Zero-Knowledge Proofs,2026,10.1145/3774905.3794699,https://doi.org/10.1145/3774905.3794699,"As quantum computing moves to a cloud-based service model, a privacy–utility dilemma arises: effective Quantum Error Mitigation (QEM) requires circuit visibility, yet circuits and noise models are often proprietary. We propose Blind-QEM, a privacy-preserving framework that enables outsourced mitigation without revealing circuit topology. Using Zero-Knowledge Proofs (ZKPs) and a receipt-based binding mechanism anchored by QPU-signed execution logs, Blind-QEM verifies policy compliance and cryptographically links results to committed circuits. This allows Service Providers to perform global incoherent noise cancellation and readout mitigation using only verified aggregate statistics, ensuring mutual protection of user IP and SP models.",,Companion Proceedings of the ACM Web Conference 2026,,,1527–1531,Association for Computing Machinery,"quantum error mitigation, zero-knowledge proofs, privacy-preserving computing",WWW Companion '26,United Arab Emirates,5,"New York, NY, USA",9798400723087,,,,,
10.1145/3719027.3765564,inproceedings,"Roy, Rupshali",Addressing Vulnerabilities and Opacities in Quantum Service Providers,2025,10.1145/3719027.3765564,https://doi.org/10.1145/3719027.3765564,"There is a steady growth in research and demand for real quan- tum hardware in the Noisy Intermediate-Scale Quantum (NISQ) era of quantum computing. This prompts many third-party cloud providers to set up quantum hardware as a service that includes a wide range of qubit technologies and architectures to maximize performance at minimal cost. Quantum circuits submitted to these services are the fruits of the efforts invested by the designers. But these third-party cloud compilers (who offer more efficient alter- natives to established compilers) can make user circuits/programs vulnerable to various security breaches. Communication channels for transmitting quantum information also need to be developed such that there is end to end encryption. There is little to no visibil- ity on where the execution of the circuit is actually taking place. The success of the user program is highly reliant on the backend that was used for execution. Besides, the third-party provider and/or tools (e.g., hardware mapper and allocator) may be untrustworthy and execute the quantum circuits on less efficient and more error- prone hardware to conserve resources and maximize profit. These vulnerabilities in the quantum system could leak confidential data, cause loss of intellectual property rights of designers, cause loss of access control, corrupt user programs et cetera. Thus, it is imper- ative to identify these security vulnerabilities and create defense strategies to protect quantum programs, thus helping to maintain the integrity of quantum information across the software stack. My thesis aims to help address these vulnerabilities and opacities and address them.",,Proceedings of the 2025 ACM SIGSAC Conference on Computer and Communications Security,,,4845–4847,Association for Computing Machinery,"forensics of quantum computing, quantum computing, security of quantum computing",CCS '25,"Taipei, Taiwan",3,"New York, NY, USA",9798400715259,,,,,
