"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Index","J. Romero-Álvarez; J. Alvarado-Valiente; E. Moguel; J. Garcia-Alonso; J. M. Murillo",NA; NA; NA; NA; NA,Quantum Service-oriented Computing: A Proposal for Quantum Software as a Service,"","2024","","","115","116","This Rapids book is an analysis of quantum computing, covering everything from its foundational principles to practical applications in the development of quantum services. It offers a technical and complex overview to provide the necessary knowledge to any researcher, scientist or developer who wants to get into service-oriented quantum computing. The field of quantum computing has evolved rapidly in recent years, with the potential to revolutionize the way we approach complex problems in various fields. This comprehensive guide covers the fundamental principles of quantum computing and its practical applications in the development of quantum services. Beyond theoretical knowledge, the book goes on to explore some of the challenges that quantum software developers face in today’s landscape. It addresses issues related to low-level abstractions and the absence of integration, deployment and quality assurance mechanisms in quantum software engineering. Also, it explores the principles of service-oriented computing applied to quantum computing, revealing architectural patterns adapted to quantum computing and discussing standardization and accessibility in this field. It also provides insight into streamlining the deployment process through a DevOps approach for continuous deployment of quantum services. This book will serve as a guide for all researchers, scientists and developers by providing them with an understanding of the current limitations and problems in quantum computing-oriented software development, and how to address them with software engineering techniques and tools applied to quantum computing.","","9788770041980","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10576620.pdf&bkn=10576063&pdfType=chapter","","","","","","","","27 Jun 2024","","","River Publishers","River eBook Chapters"
"Leveraging Towards the Efficacy of Open Source Quantum Computing Frameworks for Recommended Systems","A. Bhattacharyya; M. K. Debbarma; R. K. Barik","Department of Computer Science, National Institute of Technology Agartala, Jirania, West Tripura, India; Department of Computer Science, National Institute of Technology Agartala, Jirania, West Tripura, India; School of Computer Applications, KIIT Deemed to be University, Bhubaneshwar, India",2025 International Conference on Networks and Cryptology (NETCRYPT),"12 Aug 2025","2025","","","1324","1328","Quantum computing has the potential to transform a wide range of fields, such as materials science, chemistry, and optimization issues. The prohibitive expense of proprietary frameworks has severely limited the development of quantum computing systems, despite their transformative potential. Wider involvement in quantum research and development is now possible because of the emergence of open-source quantum computing frameworks as collaborative and affordable alternatives. With a particular focus on different frameworks, this study explores the effectiveness of open-source quantum computing frameworks in improving recommendation systems. In tackling challenging quantum computing problems, the study thoroughly assesses the usability, scalability, and performance of the framework. The results and analysis demonstrate the scalability and performance of different frameworks while utilizing their open-source nature to encourage cooperation and creativity. This study advances quantum-enhanced recommendation systems by bridging the gap between academic research and real-world applications. It also provides practitioners, developers, and researchers who want to use open-source quantum computing frameworks with insightful information to meet their computational needs. The authors aim to extend this research by exploring novel hybrid quantumclassical systems tailored for real-time applications. Future work will focus on integrating error-corrected quantum frameworks to overcome scalability challenges and advance their utility in healthcare and personalized services. This study advances quantum-enhanced recommendation systems by bridging the gap between academic research and real-world applications, providing practitioners and researchers with insight into using open source quantum computing frameworks.","","979-8-3315-2605-4","10.1109/NETCRYPT65877.2025.11102299","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11102299","Quantum computing;open-source frameworks;recommendation systems;Qiskit;TensorFlow Quantum;Cirq;PennyLane;quantum optimization;collaborative filtering;matrix factorization;hybrid quantum-classical models;scalability;performance analysis","Quantum computing;Scalability;Transforms;Medical services;Real-time systems;Performance analysis;Usability;Recommender systems;Optimization;Research and development","","","","17","IEEE","12 Aug 2025","29-31 May 2025","29-31 May 2025","IEEE","IEEE Conferences"
"Parallel and Distributed Computing: Memories of Time Past and a Glimpse at the Future","D. C. Marinescu","University of Central Florida, Orlando, FL, US",2014 IEEE 13th International Symposium on Parallel and Distributed Computing,"18 Sep 2014","2014","","","14","15","We propose to look at the evolution of ideas related to parallel systems, algorithms, and applications during the past three decades and then glimpse at the future. The journey starts with massively parallel systems of the early nineties, transitions gently to computing for the masses on the clouds of the first decade of the new millennium, and continues with what we could expect from quantum computers and quantum parallelism in the next few decades. In the late 1980s several technology companies were tasked to build massively parallel systems for classified and unclassified work. Supercomputers built with high-performance processors and low-latency interconnection networks provided the computing cycles for a relatively small population of sophisticated users from National Laboratories and universities. For example, the Touchstone Delta and then the Paragon had a hypercube interconnection network connecting together hundreds or thousands i860s, RISC processors launched with great fanfare by Intel, but mostly forgotten today. Virtually all un-classified applications running on such systems required the development of parallel libraries and parallel algorithms for different areas of scientific computing. Well discuss in some depth an application in the area of structural biology we developed for the Touchstone Delta, the 3D structure determination of viruses with unknown symmetry at high resolution. The tide turned, and in the second half of the first decade of the new millennium utility computing captured the attention of the masses. Large farms of servers built with off-the-shelf components, the so-called clouds, appeared in different time zones on earth, rather than the sky, to support enterprize computing. Anybody with a credit card and a problem involving big data now had access to vast amounts of computing cycles and storage space. The number of Cloud Service Providers (CSPs), the spectrum of services offered by the CSPs, and the number of cloud users have increased dramatically during the last few years. For example, in 2007 the EC2 (Elastic Cloud Computing) was the first service provided by AWS (Amazon Web Services), five years later, in 2012, AWS was used by businesses in 200 countries. Amazons S3 (Simple Storage Service) has surpassed two trillion objects and routinely runs more than 1.1 million peak requests per second. Well-known methods to partition the data and process the data concurrently were rediscovered and given new names, the Elastic MapReduce service has launched 5.5 million clusters since the start of the service in May 2010. In our presentation well concentrate on the IaaS (Infrastructure as a Service) cloud delivery model, discuss several classes of applications running successfully on a cloud, and present the results of some cloud benchmarks. While the computer science and computer engineering communities were busy developing operating systems, file systems, compilers, and algorithms for parallel systems a physicist, albeit a very famous one, Richard Feynman, showed in 1982 that computers obeying the laws of classical physics will never be able to carry out some difficult tasks, for example, to exactly simulate a quantum system. He predicted that a system where information is encoded as properties of quantum particles and processed using reversible state transformations will be capable of delivering extraordinary computing power. A number of alternatives for building a quantum computer including quantum dots based on spin or charge, trapped ions in a cavity, liquid NMR (Nuclear Magnetic Resonance), quantum Hall effect, and other physical processes are now investigated in many labs around the world. The race to build a quantum computer is on. To understand why, we overview the physical phenomena exploited by quantum parallelism and then discuss Shors factoring algorithm which achieves an exponential speed-up compared with a classical one. In 2009 it took almost two years and hundreds of computers to factor a 768 bit number, it is estimated that it would take 1,000 times longer to factor a 1,024 bit number. A quantum computer would most likely be able to factor a 2,048 bit number in days. But, so far only quantum computers with few qubits were built thus, information encrypted with a few hundred bit keys is safe!!","2379-5352","978-1-4799-5919-8","10.1109/ISPDC.2014.33","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6900194","","Quantum computing;Computers;Computer science;Educational institutions;Cloud computing;Quantum dots","","5","","","IEEE","18 Sep 2014","24-27 June 2014","24-27 June 2014","IEEE","IEEE Conferences"
"A Workflow for the Continuous Deployment of Quantum Services","J. Romero-Alvarez; J. Alvarado-Valiente; E. Moguel; J. Garcia-Alonso; J. M. Murillo","Quercus Software Engineering Group Universidad de Extremadura, Cáceres, Spain; Quercus Software Engineering Group Universidad de Extremadura, Cáceres, Spain; Computing and Advanced Technologies Foundation of Extremadura, Cáceres, Spain; Quercus Software Engineering Group Universidad de Extremadura, Cáceres, Spain; Computing and Advanced Technologies Foundation of Extremadura, Cáceres, Spain",2023 IEEE International Conference on Software Services Engineering (SSE),"4 Sep 2023","2023","","","1","8","The rapid advancements in quantum computing have opened new possibilities for solving complex problems in various fields, including cryptography, optimization, and simulation. However, the current approaches to quantum computing often require a deep understanding of quantum hardware and low-level programming languages, making it difficult for software developers to create and deploy quantum services. This paper argues for the adaptation of Service-Oriented Computing principles to quantum computing, enabling a level of abstraction from hardware that allows developers to focus on application development. This will allow developers to create and deploy quantum services, similarly to how Service-Oriented Computing has made it easier to develop traditional software services. This paper presents a Continuous Deployment approach for quantum service development, which involves the generation and deployment of quantum services. To do that, we propose an extension of the OpenAPI specification to generate services implementing a quantum algorithm. To validate the feasibility of the proposed process, we use a variety of quantum algorithm implementations to test their generation and deployment of quantum services.","","979-8-3503-4075-4","10.1109/SSE60056.2023.00015","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10234337","Quantum Services;Quantum Computing;Quantum Software Development;Continuous Deployment;OpenAPI","Uniform resource locators;Codes;Quantum algorithm;Source coding;Containers;Software;Hardware","","2","","30","IEEE","4 Sep 2023","2-8 July 2023","2-8 July 2023","IEEE","IEEE Conferences"
"Construction of Smart Library Service System Based on Internet of Things Data Technology","Y. Gao","Department of Library, JiLin Agricultural Science and Technology University Jilin, Jilin, China",2022 International Conference on Knowledge Engineering and Communication Systems (ICKES),"17 Mar 2023","2022","","","1","6","The construction of a smart library is an inevitable trend in the era with the emergence and rapid development of the Internet of Things, AioT, big data, cloud computing, mobile Internet, 5G, artificial intelligence, blockchain, and quantum information technology. Librarians, readers, space, literature resources, and reading promotion activities can all be connected to each other through the Internet of Things data technology after building a smart library, and monitor and evaluate the development process. This article not only introduces the face recognition system, book management system, book recommendation and purchase platform, book positioning system, book self-checkout system, reader service reservation system, reader activity management system and librarian attendance system in smart libraries, and also took the innovative and entrepreneurial talent training service carried out by the library of JiLin Agricultural Science and Technology University as an example, expounding how the smart library operates based on the Internet of Things data technology.","","978-1-6654-5637-1","10.1109/ICKECS56523.2022.10059734","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10059734","face recognition;Iot data technology;Metaverse;smart library;smart system","Training;Knowledge engineering;Quantum computing;Face recognition;Space technology;Market research;Libraries","","6","","11","IEEE","17 Mar 2023","28-29 Dec. 2022","28-29 Dec. 2022","IEEE","IEEE Conferences"
"Authors’ Guide to Quantum Computing Slang","J. Romero-Álvarez; J. Alvarado-Valiente; E. Moguel; J. Garcia-Alonso; J. M. Murillo",NA; NA; NA; NA; NA,Quantum Service-oriented Computing: A Proposal for Quantum Software as a Service,"","2024","","","99","102","This Rapids book is an analysis of quantum computing, covering everything from its foundational principles to practical applications in the development of quantum services. It offers a technical and complex overview to provide the necessary knowledge to any researcher, scientist or developer who wants to get into service-oriented quantum computing. The field of quantum computing has evolved rapidly in recent years, with the potential to revolutionize the way we approach complex problems in various fields. This comprehensive guide covers the fundamental principles of quantum computing and its practical applications in the development of quantum services. Beyond theoretical knowledge, the book goes on to explore some of the challenges that quantum software developers face in today’s landscape. It addresses issues related to low-level abstractions and the absence of integration, deployment and quality assurance mechanisms in quantum software engineering. Also, it explores the principles of service-oriented computing applied to quantum computing, revealing architectural patterns adapted to quantum computing and discussing standardization and accessibility in this field. It also provides insight into streamlining the deployment process through a DevOps approach for continuous deployment of quantum services. This book will serve as a guide for all researchers, scientists and developers by providing them with an understanding of the current limitations and problems in quantum computing-oriented software development, and how to address them with software engineering techniques and tools applied to quantum computing.","","9788770041980","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10576622.pdf&bkn=10576063&pdfType=chapter","","","","","","","","27 Jun 2024","","","River Publishers","River eBook Chapters"
"8 Conclusions and Future Directions","J. Romero-Álvarez; J. Alvarado-Valiente; E. Moguel; J. Garcia-Alonso; J. M. Murillo",NA; NA; NA; NA; NA,Quantum Service-oriented Computing: A Proposal for Quantum Software as a Service,"","2024","","","95","98","This Rapids book is an analysis of quantum computing, covering everything from its foundational principles to practical applications in the development of quantum services. It offers a technical and complex overview to provide the necessary knowledge to any researcher, scientist or developer who wants to get into service-oriented quantum computing. The field of quantum computing has evolved rapidly in recent years, with the potential to revolutionize the way we approach complex problems in various fields. This comprehensive guide covers the fundamental principles of quantum computing and its practical applications in the development of quantum services. Beyond theoretical knowledge, the book goes on to explore some of the challenges that quantum software developers face in today’s landscape. It addresses issues related to low-level abstractions and the absence of integration, deployment and quality assurance mechanisms in quantum software engineering. Also, it explores the principles of service-oriented computing applied to quantum computing, revealing architectural patterns adapted to quantum computing and discussing standardization and accessibility in this field. It also provides insight into streamlining the deployment process through a DevOps approach for continuous deployment of quantum services. This book will serve as a guide for all researchers, scientists and developers by providing them with an understanding of the current limitations and problems in quantum computing-oriented software development, and how to address them with software engineering techniques and tools applied to quantum computing.","","9788770041980","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10576623.pdf&bkn=10576063&pdfType=chapter","","","","","","","","27 Jun 2024","","","River Publishers","River eBook Chapters"
"5 Generation of Quantum Services","J. Romero-Álvarez; J. Alvarado-Valiente; E. Moguel; J. Garcia-Alonso; J. M. Murillo",NA; NA; NA; NA; NA,Quantum Service-oriented Computing: A Proposal for Quantum Software as a Service,"","2024","","","59","68","This Rapids book is an analysis of quantum computing, covering everything from its foundational principles to practical applications in the development of quantum services. It offers a technical and complex overview to provide the necessary knowledge to any researcher, scientist or developer who wants to get into service-oriented quantum computing. The field of quantum computing has evolved rapidly in recent years, with the potential to revolutionize the way we approach complex problems in various fields. This comprehensive guide covers the fundamental principles of quantum computing and its practical applications in the development of quantum services. Beyond theoretical knowledge, the book goes on to explore some of the challenges that quantum software developers face in today’s landscape. It addresses issues related to low-level abstractions and the absence of integration, deployment and quality assurance mechanisms in quantum software engineering. Also, it explores the principles of service-oriented computing applied to quantum computing, revealing architectural patterns adapted to quantum computing and discussing standardization and accessibility in this field. It also provides insight into streamlining the deployment process through a DevOps approach for continuous deployment of quantum services. This book will serve as a guide for all researchers, scientists and developers by providing them with an understanding of the current limitations and problems in quantum computing-oriented software development, and how to address them with software engineering techniques and tools applied to quantum computing.","","9788770041980","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10576613.pdf&bkn=10576063&pdfType=chapter","","","","","","","","27 Jun 2024","","","River Publishers","River eBook Chapters"
"6 DevOps for Quantum Computing","J. Romero-Álvarez; J. Alvarado-Valiente; E. Moguel; J. Garcia-Alonso; J. M. Murillo",NA; NA; NA; NA; NA,Quantum Service-oriented Computing: A Proposal for Quantum Software as a Service,"","2024","","","69","76","This Rapids book is an analysis of quantum computing, covering everything from its foundational principles to practical applications in the development of quantum services. It offers a technical and complex overview to provide the necessary knowledge to any researcher, scientist or developer who wants to get into service-oriented quantum computing. The field of quantum computing has evolved rapidly in recent years, with the potential to revolutionize the way we approach complex problems in various fields. This comprehensive guide covers the fundamental principles of quantum computing and its practical applications in the development of quantum services. Beyond theoretical knowledge, the book goes on to explore some of the challenges that quantum software developers face in today’s landscape. It addresses issues related to low-level abstractions and the absence of integration, deployment and quality assurance mechanisms in quantum software engineering. Also, it explores the principles of service-oriented computing applied to quantum computing, revealing architectural patterns adapted to quantum computing and discussing standardization and accessibility in this field. It also provides insight into streamlining the deployment process through a DevOps approach for continuous deployment of quantum services. This book will serve as a guide for all researchers, scientists and developers by providing them with an understanding of the current limitations and problems in quantum computing-oriented software development, and how to address them with software engineering techniques and tools applied to quantum computing.","","9788770041980","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10576619.pdf&bkn=10576063&pdfType=chapter","","","","","","","","27 Jun 2024","","","River Publishers","River eBook Chapters"
"Cybersecurity Architect's Handbook: An architect's guide to designing, building, and defending the modern enterprise","L. Nichols; C. Ball",NA; NA,"Cybersecurity Architect's Handbook: An architect's guide to designing, building, and defending the modern enterprise","","2026","","","","","The cybersecurity architect is not just a technician — they are a tactician in the ever-present war in cyberspace. The Cybersecurity Architect's Handbook, 2nd Edition takes you from foundational security principles through Zero Trust, AI security, cloud-native architecture, and critical infrastructure protection, blending hands-on technical expertise with the strategic wisdom of The Art of War. Design it. Build it. Defend it.Key FeaturesCovers modern cybersecurity foundations from CIA triad to threat modeling and secure developmentProvides industry-specific architecture patterns for AI, finance, healthcare, cloud, critical infrastructureCareer pathways from entry-level to cybersecurity architect, with certs, tools, and adaptabilityBook DescriptionThe Cybersecurity Architect's Handbook, 2nd Edition builds on the foundational, career-development, and best-practices coverage that made the first edition an essential resource, while expanding its scope with a new section of applied, industry-specific architecture chapters. In this new edition, the book introduces dedicated deep dives into AI security architecture, financial services architecture patterns, healthcare security architecture, cloud-native security architecture, critical infrastructure protection, and Zero Trust Architecture implementation — each with scenario-based examples, lab exercises, and domain-specific design guidance. New to this edition is the strategic framework inspired by Sun Tzu's The Art of War, woven throughout every chapter to reinforce that cybersecurity architects are not merely technicians but strategists and tacticians operating on a digital battlefield. By the end of this book, you will have a complete roadmap from foundational knowledge to real-world application across today’s critical industries and technology environments. You will explore best practices and emerging threats, including quantum computing and AI-driven attacks, to design, build, and defend the modern enterprise.What you will learnHands-on labs and scenario exercises covering access, crypto, and BCP/DRImplement Zero Trust with identity controls, micro-segmentation, and migrationLearn cybersecurity architecture principles and design through lifecycle scenariosRationalize tools by streamlining your toolkit and aligning with businessAddress architecture challenges by mitigating threats and adapting strategiesDesign security architectures for AI, finance (PCI, GLBA, SOX), HIPAA, cloud, ICS/SCADAUse Sun Tzu's strategies to become a tactician and leader in cybersecurityWho this book is forThis book is for aspiring cybersecurity architects who want foundational knowledge and a roadmap to think and operate as architects. It’s also suited for practicing security professionals seeking to move from tactical, tool-focused work to strategic architectural thinking and decision-making. It will benefit current cybersecurity and solution architects aiming to expand expertise in AI security and Zero Trust while strengthening transferable frameworks. Technology leaders or IT managers who want to align security strategy with business objectives and governance will find this book essential.","","9781806105380","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=11514932.pdf&bkn=11514932&pdfType=book","","","","","","","","11 May 2026","","","Packt Publishing","Packt Publishing eBooks"
