citation_key,entry_type,author,title,journal,booktitle,volume,number,pages,year,issn,isbn,doi,url,keywords,abstract,note,editor,publisher,series
CHAWLA2026459,incollection,Paras Chawla and Shubham Mahajan and Rohit Anand,Chapter 13 - Emerging technologies and future trends of urban development,,Smart Cities of AI Robots and Autonomous Vehicles,,,459-486,2026,,978-0-443-38359-5,https://doi.org/10.1016/B978-0-443-38359-5.00011-2,https://www.sciencedirect.com/science/article/pii/B9780443383595000112,"Disruptive technologies, blockchain technology, AI, smart cities, quantum computing, 5G, edge computing, IoT, metaverse, virtual and augmented reality","This chapter reviews disruptive innovations integrating smart solutions into urban environments beyond 2030, accentuating green and diverse approaches metropolitan planning. The integration of cutting-edge artificial intelligence, data analytics, blockchain, cybersecurity techniques, and Internet of Things (IoT) with sensor technologies is sightseeing, highlighting their shared responsibility in enhancing ecological resilience against dynamic environmental and social complexities. Indian framework, the chapter assesses the contextual relevance of blockchain and IoT, overcoming critical barriers such as internet disparity, administrative problems, and network protection. The addition of quantum computing underscores its ability to expedite data-driven urban informatics, accelerating the decision-making process. Moreover, the development of 5G wireless communication and edge-computing technologies is analyzed, mainly their ability to necessarily change urban service delivery as it happens like healthcare, transportation, and protection. The chapter also specifically examines immersive and metaverse technologies, comprising augmented and virtual reality, which are empowering citizen participation in urban design and fostering participation in government utilities. Overall, these developing technological limits present unique opportunities and fundamental concerns for government officials, civic leaders, and decision-makers, outlining a strategy for adaptable and inclusive future intelligent cities.",,,Elsevier,
DU2023108546,article,Dou Du and Taylor J. Baird and Sara Bonella and Giovanni Pizzi,"OSSCAR, an open platform for collaborative development of computational tools for education in science",Computer Physics Communications,,282,,108546,2023,0010-4655,,https://doi.org/10.1016/j.cpc.2022.108546,https://www.sciencedirect.com/science/article/pii/S001046552200265X,"Jupyter, Notebooks, Computational physics, Computational chemistry, Computational materials science, Education","In this paper we present the Open Software Services for Classrooms and Research (OSSCAR) platform. OSSCAR provides an open collaborative environment to develop and access educational resources in the form of web applications, for which various deployment methods are discussed and compared. To minimize efforts in the creation and use of new educational material, OSSCAR combines software tools that have emerged as standards with custom domain-specific ones. The technical solutions adopted to create and distribute content are described and motivated on the basis of reliability, sustainability, ease of uptake and use. Examples from courses in the domains of physics, chemistry, and materials science are shown to demonstrate the style and level of interactivity of typical applications. The tools presented are easy to use, and create a uniform and open environment exploitable by a large community of teachers, students, and researchers with the goal of facilitating learning and avoiding, when possible, duplication of efforts in creating teaching material. Contributions to expand the educational content of the OSSCAR project are welcome.
Program summary
Program Title: OSSCAR Interactive Notebooks for Quantum Mechanics and Computational Materials Science CPC Library link to program files: https://doi.org/10.17632/26py5zz9f8.1 Developer's repository link: https://github.com/osscar-org/quantum-mechanics Licensing provisions: MIT Programming language: Python Nature of problem: Among others, computational courses (e.g. on quantum mechanics) can benefit from advanced interactive visualizations of the content. However, on the one hand it might be complicated for teachers to develop such interactive content; on the other hand, students need to be able to access very quickly and efficiently the content, reducing the time needed to install libraries and dependencies that might differ between courses. Solution method: Here, we developed interactive web applications to complement teaching and encourage computational thinking for courses in computational physics, chemistry and materials science, using Jupyter notebooks and their rendering as interactive web applications. The latter is powered by a combination of Voila, to hide code and convert notebooks into live web applications, and (existing or custom) Jupyter widgets to enable interactiveness. The code is ready to be deployed via a number of open approaches.",,,,
CHITI2024110668,article,Francesco Chiti and Roberto Picchi and Laura Pierucci,A survey on non-terrestrial quantum networking: Challenges and trends,Computer Networks,,252,,110668,2024,1389-1286,,https://doi.org/10.1016/j.comnet.2024.110668,https://www.sciencedirect.com/science/article/pii/S1389128624005000,"Non-terrestrial quantum systems, Quantum software-defined networking, Quantum internet applications","Satellites and aerial platforms can be significant in the development of new telecommunications networks, allowing to deploy networks with extremely high performance even in remote areas. Recently, considering the development of quantum communication technologies, many studies are concentrated on Free Space Optic (FSO) Non-Terrestrial links, also considering that the studies performed so far on Optical Fibers (OFs) have not pointed out significant results, especially in terms of coverage. Moreover, the decrease of launch costs and the use of new satellite technologies such as CubeSats make the deployment of satellite constellations affordable. Thanks to the deployment of Non-Terrestrial Quantum Networks (NTQNs), the novel services offered by the Quantum Internet (QI) could be made easily accessible to all. In particular, Quantum Computers (QCs) can perform beyond the capabilities of any classical processor, and the interconnection of these devices on a global scale makes it possible to achieve extremely high computational capabilities, thus opening the way to new applications, such as Quantum Cloud (QCloud). Therefore, the recent studies in this area motivate this survey, which in addition to providing some base concept of quantum information, describes the current technologies needed to create quantum NT backbones. Specifically, this survey examines some studies over the period 2010–2023, which are related to the realization of quantum communications using satellites and other aerial platforms such as High Altitude Platforms (HAPS) and quantum drones. Some of the architectures that are described in this survey make use of the Software-Defined Networking (SDN) paradigm, which can be envisaged as a key enabler for the management of heterogeneous QNs in general. Furthermore, through the description of various experiments, the paper shows the applications that can be enabled by the future quantum NT backbones. In particular, in addition to improving the security of current systems through the Quantum Key Distribution (QKD), it could be possible to interconnect clusters of QCs over long distances and create extremely reliable positioning systems. Finally, the paper outlines some possible future developments.",,,,
LI2024110393,article,Junhao Li and Qiang Nong and Ziyu Liu,QBDD: Quantum-resistant blockchain-assisted deep data deduplication protocol for vehicular crowdsensing system,Computer Networks,,245,,110393,2024,1389-1286,,https://doi.org/10.1016/j.comnet.2024.110393,https://www.sciencedirect.com/science/article/pii/S1389128624002251,"Vehicular crowdsensing system, Data deduplication, RLWE, MLE, Blockchain","Vehicular Crowdsensing System (VCS) has emerged as a promising paradigm for alleviating traffic congestion and improving driving safety due to its convenient collection and aggregation of various driving and traffic-related reports. However, the rapidly growing number of vehicles means that VCS faces the severe challenge of large-capacity data storage. It has been observed that various data deduplication techniques have been devised for VCS. Unfortunately, in most solutions, the deduplication operations are centralized, unable to simultaneously reduce storage costs and bandwidth consumption. Moreover, these schemes are mainly constructed based on number-theoretic assumptions, which makes them susceptible to quantum attacks. Inspired by this fact, we introduce QBDD, a quantum-resistant blockchain-assisted second-level data deduplication protocol for privacy-preserving VCS, enabling efficient deduplication on the Road Side Unit (RSU) and Cloud Service Platform (CSP). We construct this protocol based on the Ring Learning with Errors (RLWE) problem signcryption and proxy re-encryption schemes to ensure data security. The improved Message Locking Encryption (MLE) mechanism hides the label of ciphertext and allows for quick duplicate crowdsensing report checks without compromising data privacy. Additionally, a blockchain-based distributed system is used to store crowdsensing data and maintain greedy lists, enhancing the system’s efficiency and fairness. We provide theoretical proof of QBDD’s security and conduct extensive experiments to demonstrate its practicality in post-quantum secure VCS.",,,,
ELKASSEM2019425,article,Nada El Kassem and Liqun Chen and Rachid El Bansarkhani and Ali El Kaafarani and Jan Camenisch and Patrick Hough and Paulo Martins and Leonel Sousa,"More efficient, provably-secure direct anonymous attestation from lattices",Future Generation Computer Systems,,99,,425-458,2019,0167-739X,,https://doi.org/10.1016/j.future.2019.04.036,https://www.sciencedirect.com/science/article/pii/S0167739X19300536,"Lattice based cryptography, Direct anonymous attestation, Universally composable security model","The Cloud-Edges (CE) framework, wherein small groups of Internet of Things (IoT) devices are serviced by local edge devices, enables a more scalable solution to IoT networks. The trustworthiness of the network may be ensured with Trusted Platform Modules (TPMs). This small hardware chip is capable of measuring and reporting a representation of the state of an IoT device. When connecting to a network, the IoT platform might have its state signed by the TPM in an anonymous way to prove both its genuineness and secure state through the Direct Anonymous Attestation (DAA) protocol. Currently standardised DAA schemes have their security supported on the factoring and discrete logarithm problems. Should a quantum-computer become available in the next few decades, these schemes will be broken. There is therefore a need to start developing a post-quantum DAA protocol. This paper presents a Lattice-based DAA (LDAA) scheme to meet this requirement. The security of this scheme is proved in the Universally Composable (UC) security model under the hardness assumptions of the Ring Inhomogeneous Short Integer Solution (Ring-ISIS) and Ring Learning With Errors (Ring-LWE) problems. Compared to the only other DAA scheme with conjectured post-quantum security available in related art, the storage requirements of the TPM are reduced twofold and the signature sizes 5 times. Moreover, experimental results show that the signing and verification operations are accelerated 1.1 and 2.0 times, respectively.",,,,
BRAEKEN2025107634,article,A. Braeken,Flexible hybrid post-quantum bidirectional multi-factor authentication and key agreement framework using ECC and KEM,Future Generation Computer Systems,,166,,107634,2025,0167-739X,,https://doi.org/10.1016/j.future.2024.107634,https://www.sciencedirect.com/science/article/pii/S0167739X24005983,"Post-quantum security, Hybrid, Key encapsulation mechanism, Authentication and key agreement, Multi-factor authentication, Physical unclonable function, Anonymity","Post-quantum computing becomes a real threat in the coming years, resulting in vulnerable security protocols that rely on traditional public key algorithms. It is not evident to provide protection against it in a cost-efficient manner, especially for Internet of Things (IoT) devices with limited capabilities. There is a high variety of IoT applications, some require only short-term security (e.g. agriculture) and others long-term security (e.g. healthcare). In order to provide a unified security approach for such heterogeneity in IoT, we propose a flexible hybrid authentication and key agreement framework for a client–server architecture, which relies both on the classical elliptic curve cryptography (ECC) and on a quantum secure key encapsulation mechanism (KEM). There are five versions that can be derived from the framework, going from a fully hybrid, and partial hybrid to classical construction. The trade-off between performance and security strength is demonstrated for each of these versions. The overall cost of the protocols is highly reduced thanks to the usage of multifactors in the authentication process, both on the user side by means of biometrics and the device side by means of physically unclonable functions (PUFs). We show that both Kyber and Mc Elience as KEM can offer reasonable performance, depending on the situation. The unified framework offers optimal security protection against the most well-known attacks.",,,,
VISALAXI2023100755,article,G. Visalaxi and A. Muthukumaravel,IOT monitoring membrane computing based on quantum inspiration to enhance security in cloud network,Measurement: Sensors,,27,,100755,2023,2665-9174,,https://doi.org/10.1016/j.measen.2023.100755,https://www.sciencedirect.com/science/article/pii/S2665917423000910,"Internet of things, Cloud computing, Quantum computing, Cryptography, Neural network, Membrane computing","Human computation is a technology inspired by nature. The majority of its computational sources are physiologically motivated computations. The existing calculation, on the other hand, uses some conventional techniques to complete the work. In the cloud, IaaS is one of the most basic services, offering a wide range of functions to a large number of customers. Modelling a number of species using P systems with different membrane structure types to predict the number of individuals is a major advantage of the proposed work. Even though it provides large number services (or) features to the user always it faces many numerous obstacles in Infrastructure service in cloud network, such as Authentication and Authorization, Data leakage and monitoring, End to End encryption, there is a risk of lack of security. Traditional encryption approaches also employ efficient methods to build cloud network security. It does, however, have some flaws in terms of IaaS. The work proposed membrane infrastructure based on the quantum inspiration. It will used to overcome such challenges. It is possible to minimize current constraints by employing this strategy. The paper proposes to employ basic distributed computational methods in an open and natural setting to provide membrane systems as a suitable framework for cloud environments for providing unique security among cloud users. They employ a framework for defending against intruder attacks. It is possible to address key cloud computing security difficulties by integrating Quantum Computing between the membrane environments with Cloud Computing technology. The proposed effectiveness and outcomes are monitored with the help of Internet of Things (IoT). This level introduces a revolutionary method to cloud security by incorporating quantum protocols into a membrane environment. The proposed SEDFA is the better method with all types of datasets and the Communication Cost by 5%, Encoding Time (ET) by 2 s, and Decoding Time (DT) by 0.5 s.",,,,
MARYJYOSTHNA2026100807,article,P. Mary Jyosthna and P. Srilatha and N. Raveendra,Optimizing resource allocation and enhancing security in smart grid environments through a decentralized access control system with power theft detection mechanism,Renewable Energy Focus,,57,,100807,2026,1755-0084,,https://doi.org/10.1016/j.ref.2025.100807,https://www.sciencedirect.com/science/article/pii/S1755008425001292,"Smart grid, Fuzzy–enhanced kalman filter, Quantum–enhanced artificial neural network, Ship rescue optimization, Power theft detection, Resource allocation","The smart grid upgrades an existing power grid with intelligence, such that data sharing can occur about things like customer data and energy consumption. However, several methods related to access management and theft detection currently exist, can be inflexible, have high computational costs, and their generalizations can be impaired by noisy sensor data. This work develops a secure, and efficient smart grid system that combines decentralized access control, and power theft detection. The major aim of the current technique is to develop a decentralized access control service with user revocation abilities while increasing smart grid security using information technology management. The method described in this paper will first create input data from the Theft Detection in Smart Grid Environment Dataset and process the data with a Fuzzy–Enhanced Kalman Filter (FEKF) to remove noise and outliers from the input data. The input data is sensed for power theft detection through the usage of a Quantum–enhanced Artificial Neural Network (QANN) that enables precise detection of illicit activity. To optimize resource allocation and access request routing, the Ship Rescue Optimization (SRO) algorithm is applied. The system is implemented and evaluated using the Python programming platform. When compared to the existing methods like African Vultures Optimization Algorithm (AVOA), Particle Swarm Optimization (PSO), and Whale Optimization Algorithm with Flower Mating Optimization (WOA–FMO), the proposed SRO achieves outstanding performance with a high accuracy of 98 %.",,,,
NAZ2026110930,article,Rahat Naz and Jaydeep Howlader and Shahnawaz Ahmad,A secure expert system framework for private function evaluation using functional encryption and multi-party computation,Computers and Electrical Engineering,,131,,110930,2026,0045-7906,,https://doi.org/10.1016/j.compeleceng.2025.110930,https://www.sciencedirect.com/science/article/pii/S0045790625008730,"Functional encryption, Secure multi-party computation, Private function evaluation, Expert systems, Privacy-preserving AI, Cryptographic inference","Cloud systems and edge-based systems have an increasing appetite for privacy-preserving computation over distributed sensitive data. Most existing cryptographic solutions don't perform well when executing complex inference tasks while hiding both the input data and the logic of the functions. This can be a serious shortcoming in particular areas, such as healthcare analytics and financial modeling, where data privacy and model protections are paramount. Although secure multiparty computation (SMPC) and functional encryption (FE) hold promise individually, current implementations are often either not scalable or not auditable from end to end in adversarial models. This work presents a hybrid framework that fuses FE with SMPC to enable private function evaluation (PFE) in decentralized environments. The architecture supports encrypted expert inference, leveraging a trust-weighted cryptographic consensus layer, dynamic key management, and function-specific policy enforcement. An adaptive fusion of secure execution and traceable audit logging ensures both privacy and compliance without sacrificing computational tractability. Experimental validation demonstrates that our system reduces decision latency by up to 18 % over standard FE baselines and improves leakage resistance under semi-honest and collusion-based attacks by 23 %, with auditability scores reaching 87 % in real-world simulation settings. By enabling the execution of confidential functions with built-in explainability and regulatory transparency, the proposed system lays the foundation for secure AI-as-a-service platforms. Its compatibility with edge deployments and extensibility toward zero-knowledge and post-quantum cryptography position it as a robust candidate for the next generation of trust-aware decentralized computation.",,,,
LI2025104367,article,Junhao Li and Qiang Nong and Ziyu Liu,A resilient fog-enabled IoV architecture: Adaptive post-quantum security framework with generalized signcryption and blockchain-enhanced trust management,Journal of Network and Computer Applications,,244,,104367,2025,1084-8045,,https://doi.org/10.1016/j.jnca.2025.104367,https://www.sciencedirect.com/science/article/pii/S1084804525002644,"Internet of vehicles, Generalized signcryption, Quantum-resistant, Trust management, Blockchain","Vehicular Fog Computing (VFC) extends the fog computing paradigms to empower the Internet of Vehicles (IoV) by delivering ubiquitous computing and ultra-low latency-features critical to applications such as autonomous driving and collision avoidance. However, the dynamic and open nature of this architecture presents significant challenges in implementing robust security measures, ensuring the integrity of data, and safeguarding user privacy. Furthermore, most existing solutions fail to adequately prioritize the distinct requirements of safety-critical and non-safety-critical IoV services, thereby limiting their adaptability across heterogeneous application scenarios. Consequently, there is a growing need to develop flexible and resilient dynamic security mechanisms that optimize resource utilization in latency-sensitive and computationally intensive IoV systems. Additionally, IoVs systems must be equipped with defenses against evolving threats, including the emerging risk of quantum computing attacks. To address these challenges, this paper proposes a Quantum-resistant Blockchain-Assisted Generalized Signcryption (QBGS) protocol for vehicular fog computing. It synergizes post-quantum cryptography with adaptive trust orchestration, tailored specifically for next-generation IoV systems that require decentralized trust management and service-differentiated security. Unlike conventional static security methods, QBGS dynamically adjusts cryptographic operations such as encryption, signature, and signcryption to evolving environmental factors such as traffic density and threat severity. This enables context-aware security adjustments that enhance both efficiency and resilience. Moreover, QBGS incorporates a blockchain-integrated fog layer that supports lightweight protocols designed to curb the dissemination of false information. Through extensive theoretical analysis and systematic simulations based on an urban traffic case study, we demonstrate the practicality of QBGS for post-quantum secure IoV.",,,,
