ID,ENTRYTYPE,author,title,year,doi,url,abstract,journal,booktitle,volume,number,pages,publisher,keywords,series,location,numpages,address,isbn,articleno,month,issue_date,issn
10.1145/3726854.3727295,inproceedings,"Ludmir, Jason and Huo, Yuqian and DiBrita, Nicholas S. and Patel, Tirthak",Modeling and Simulating Rydberg Atom Quantum Computers for Hardware-Software Co-design with PachinQo,2025,10.1145/3726854.3727295,https://doi.org/10.1145/3726854.3727295,"Quantum computing has the potential to accelerate various domains: scientific computation, machine learning, and optimization. Recently, Rydberg atom quantum computing has emerged as a promising quantum computing technology, especially with the demonstration of the zonal addressing architecture. However, this demonstration is only compatible with one type of quantum algorithm, and extending it to compile and execute general quantum algorithms is a challenge. To address it, we propose PachinQo, a framework to co-design the architecture and compilation for zonal addressing systems for any given quantum algorithm. PachinQo's evaluation demonstrates its ability to improve a quantum algorithm's estimated probability of success by 45% on average in error-prone quantum environments.",,Abstracts of the 2025 ACM SIGMETRICS International Conference on Measurement and Modeling of Computer Systems,,,136–138,Association for Computing Machinery,"hardware-software co-design, quantum compiling, rydberg atoms",SIGMETRICS '25,"Stony Brook, NY, USA",3,"New York, NY, USA",9798400715938,,,,
10.1145/3700421,article,"Ludmir, Jason Zev and Huo, Yuqian and DiBrita, Nicholas S. and Patel, Tirthak",Modeling and Simulating Rydberg Atom Quantum Computers for Hardware-Software Co-design with PachinQo,2024,10.1145/3700421,https://doi.org/10.1145/3700421,"Quantum computing has the potential to accelerate various domains: scientific computation, machine learning, and optimization. Recently, Rydberg atom quantum computing has emerged as a promising quantum computing technology, especially with the demonstration of the zonal addressing architecture. However, this demonstration is only compatible with one type of quantum algorithm, and extending it to compile and execute general quantum algorithms is a challenge. To address it, we propose PachinQo, a framework to co-design the architecture and compilation for zonal addressing systems for any given quantum algorithm. PachinQo's evaluation demonstrates its ability to improve a quantum algorithm's estimated probability of success by 45% on average in error-prone quantum environments.",Proc. ACM Meas. Anal. Comput. Syst.,,8,3,,Association for Computing Machinery,"hardware-software co-design, quantum compiling, rydberg atoms",,,25,"New York, NY, USA",,39,December,December 2024,
10.1145/3779212.3790177,inproceedings,"Yin, Keyi and Fang, Xiang and Chen, Zhuo and Hayes, David and Kaur, Eneet and Nejabati, Reza and Haeffner, Hartmut and Campbell, Wes and Hudson, Eric and Palsberg, Jens and Humble, Travis and Ding, Yufei",iSwitch: QEC on Demand via In-Situ Encoding of Bare Qubits for Ion Trap Architectures,2026,10.1145/3779212.3790177,https://doi.org/10.1145/3779212.3790177,"Recent advances in quantum hardware and error correction have paved the way for early fault-tolerant (EFT) quantum computing. We propose iSwitch, a hybrid system architecture for trapped-ion quantum computers (TIQC) that exploits ultra-high-fidelity single-qubit gates and efficient logical CNOTs enabled by ion shuttling. iSwitch employs bare qubits for single-qubit operations and QEC-encoded logical qubits for two-qubit gates, avoiding full logical encoding, gate synthesis, and magic state distillation. To enable this selective encoding, we develop a low-noise conversion protocol between bare and logical qubits, a hybrid instruction set tailored to 2D TIQC layouts, and a compiler that minimizes conversion overhead and optimizes scheduling. Evaluations on variational quantum algorithm benchmarks show that iSwitch achieves comparable fidelity to conventional QEC methods, while reducing qubit and operation counts by roughly 33–50%, offering a practical, resource-efficient path toward EFT quantum computing on trapped-ion platforms.",,"Proceedings of the 31st ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 2",,,1007–1021,Association for Computing Machinery,"quantum computing, quantum error correction, ion trap",ASPLOS '26,USA,15,"New York, NY, USA",9798400723599,,,,
10.1145/3797968,article,"Kong, Linghang and Zhang, Fang and Chen, Jianxin",Benchmarking fault-tolerant quantum computing hardware via QLOPS,2026,10.1145/3797968,https://doi.org/10.1145/3797968,"It is widely recognized that quantum computing has profound impacts on multiple fields, including but not limited to cryptography, machine learning, materials science, and so on. To run quantum algorithms, it is essential to develop scalable quantum hardware with low noise levels and to design efficient fault-tolerant quantum computing (FTQC) schemes. Currently, various FTQC schemes have been developed for different hardware platforms. However, a comprehensive framework for the analysis and evaluation of these schemes is still lacking. In this work, we propose Quantum Logical Operations Per Second (QLOPS) as a metric for assessing the performance of FTQC schemes on quantum hardware platforms. This benchmarking framework will integrate essential relevant factors, e.g., the code rates of quantum error-correcting codes, the accuracy, throughput, and latency of the decoder. Through a resource analysis of factoring RSA-2048, we demonstrate that QLOPS reflects the practical requirements of quantum algorithm execution. This framework will enable the identification of bottlenecks in quantum hardware, providing potential directions for their development. Moreover, our results will help establish a comparative framework for evaluating FTQC designs. As this benchmarking approach considers practical applications, it may assist in estimating the hardware resources needed to implement quantum algorithms and offers preliminary insights into potential timelines.",ACM Transactions on Quantum Computing,,7,2,,Association for Computing Machinery,"Benchmarking, superconducting qubit, neutral atom",,,14,"New York, NY, USA",,14,April,June 2026,
10.1145/3729269,article,"Cao, Xiuqi and Zhou, Junyu and Liu, Yuhao and Shi, Yunong and Li, Gushu",MarQSim: Reconciling Determinism and Randomness in Compiler Optimization for Quantum Simulation,2025,10.1145/3729269,https://doi.org/10.1145/3729269,"Quantum Hamiltonian simulation, fundamental in quantum algorithm design, extends far beyond its foundational roots, powering diverse quantum computing applications. However, optimizing the compilation of quantum Hamiltonian simulation poses significant challenges. Existing approaches fall short in reconciling deterministic and randomized compilation, lack appropriate intermediate representations, and struggle to guarantee correctness. Addressing these challenges, we present MarQSim, a novel compilation framework. MarQSim leverages a Markov chain-based approach, encapsulated in the Hamiltonian Term Transition Graph, adeptly reconciling deterministic and randomized compilation benefits. Furthermore, we formulate a Minimum-Cost Flow model that can tune transition matrices to enforce correctness while accommodating various optimization objectives. Experimental results demonstrate MarQSim's superiority in generating more efficient quantum circuits for simulating various quantum Hamiltonians while maintaining precision.",Proc. ACM Program. Lang.,,9,PLDI,,Association for Computing Machinery,"Hamiltonian Simulation, Markov Chain, Minimum-Cost Flow Model, Quantum Computing",,,25,"New York, NY, USA",,170,June,June 2025,
10.1145/3731545.3744153,inproceedings,"Faro, Simone and Marino, Francesco Pio and Messina, Gabriele",Qutes: A High-Level Quantum Programming Language for Simplified Quantum Computing,2025,10.1145/3731545.3744153,https://doi.org/10.1145/3731545.3744153,"Quantum computing leverages the principles of quantum mechanics to perform computations far beyond the capabilities of classical systems, particularly in fields such as cryptography and optimization. However, current quantum programming languages often require low-level implementation, posing significant barriers for many developers due to their steep learning curve and limited abstraction. In response, we introduce Qutes, a high-level quantum programming language designed to simplify quantum algorithm development while maintaining the flexibility required for advanced applications. By abstracting complex quantum operations and allowing intuitive expressions through high-level constructs, Qutes enables users to write efficient quantum programs without extensive knowledge of quantum mechanics or circuit design. Built upon Qiskit, Qutes translates its syntax directly into executable quantum code, facilitating seamless integration with quantum hardware. This paper provides an overview of the language's architecture, core functionalities, and its ability to unify classical and quantum operations within a single framework. Additionally, we demonstrate Qutes' application in key quantum algorithms, showcasing its potential to make quantum programming more accessible and practical for a wider range of developers and researchers.",,Proceedings of the 34th International Symposium on High-Performance Parallel and Distributed Computing,,,,Association for Computing Machinery,,HPDC '25,"University of Notre Dame Conference Facilities, Notre Dame, IN, USA",9,"New York, NY, USA",9798400718694,47,,,
10.1145/3786150.3788612,inproceedings,"Cardinal, Julien and Benzarti, Imen and Boussaidi, Ghizlane El and Pere, Christophe",Migrating QAOA from Qiskit 1.x to 2.x: An experience report,2026,10.1145/3786150.3788612,https://doi.org/10.1145/3786150.3788612,"Migrating quantum algorithms across evolving frameworks introduces subtle behavioral changes that affect accuracy and reproducibility. This paper reports our experience converting the Quantum Approximate Optimization Algorithm (QAOA) from Qiskit Algorithms with Qiskit 1.x (v1 primitives) to a custom implementation using Qiskit 2.x (v2 primitives). Despite identical circuits, optimizers, and Hamiltonians, the new version produced drastically different results. A systematic analysis revealed the root cause: the sampling budget—the number of circuit executions (shots) per iteration. The library’s implicit use of unlimited shots yielded dense probability distributions, whereas the v2 default of 10000 shots captured only 23% of the state space. Increasing shots to 250000 restored library-level accuracy. This study highlights how hidden parameters at the quantum–classical interaction level can dominate hybrid algorithm performance and provides actionable recommendations for developers and framework designers to ensure reproducible results in quantum software migration.",,Proceedings of the 7th IEEE/ACM International Workshop on Quantum Software Engineering,,,25–32,Association for Computing Machinery,"Quantum Optimization, QAOA, Software Architecture Recovery problem, Quantum algorithms",Q-SE '26,,8,"New York, NY, USA",9798400723834,,,,
10.1145/3716368.3735264,inproceedings,"Lu, Chao and Telang, Esha and Aysu, Aydin and Basu, Kanad",Quantum Leak: Timing Side-Channel Attacks on Cloud-Based Quantum Services,2025,10.1145/3716368.3735264,https://doi.org/10.1145/3716368.3735264,"Quantum computing offers significant acceleration capabilities over its classical counterpart in various application domains. Consequently, there has been substantial focus on improving quantum computing capabilities. However, to date, the security implications of these quantum computing platforms have been largely overlooked. With the emergence of cloud-based quantum computing services, it is critical to investigate the extension of classical computer security threats to the realm of quantum computing.In this study, we investigated timing-based side-channel vulnerabilities within IBM’s cloud-based quantum service. The proposed attack effectively subverts the confidentiality of the executed quantum algorithm, using a more realistic threat model compared to existing approaches. Our experimental results, conducted using IBM’s quantum cloud service, demonstrate that with just 10 measurements, it is possible to identify the underlying quantum computer that executed the circuit. Moreover, when evaluated using the popular Grover circuit, we showcase the ability to leak the quantum oracle with a mere 500 measurements. These findings underline the pressing need to address timing-based vulnerabilities in quantum computing platforms and advocate for enhanced security measures to safeguard sensitive quantum algorithms and data.",,Proceedings of the Great Lakes Symposium on VLSI 2025,,,252–257,Association for Computing Machinery,,GLSVLSI '25,,6,"New York, NY, USA",9798400714962,,,,
10.1145/3789297.3789328,inproceedings,"Yang, Zhe and Lin, Zixuan",Path Design of a Particle Swarm-Genetic Hybrid Algorithm for Financial Portfolio Optimization,2026,10.1145/3789297.3789328,https://doi.org/10.1145/3789297.3789328,"To address high-dimensional nonlinear constraints in financial portfolio optimization, this study proposes a hybrid particle swarm-genetic algorithm model to enhance global search capability and convergence accuracy. Building upon the traditional PSO framework, the model incorporates arithmetic crossover and Gaussian mutation mechanisms from genetic algorithms, enabling two-stage synergistic evolution of weight vectors. To ensure constraint feasibility, normalized projection and volatility penalty strategies are designed, alongside an adaptability function based on weighted Sharpe ratio. Tests on a sample of 30 Shanghai-Shenzhen A-share assets demonstrate that the hybrid algorithm improves the Sharpe ratio to 1.674 and reduces maximum drawdown to 0.082, significantly outperforming the standalone PSO algorithm and validating its superiority in risk-return control.",,Proceedings of the 2025 2nd International Conference on Economic Data Analytics and Artificial Intelligence,,,193–199,Association for Computing Machinery,"genetic algorithm, hybrid optimization, particle swarm optimization, portfolio optimization, risk control",EDAI '25,,7,"New York, NY, USA",9798400719660,,,,
10.1145/3786484.3786519,inproceedings,"Li, Weixuan and Mo, Yun and Wei, Pingping",Construction of a Dynamic Optimization Model for Vocational Education Program Alignment in the Context of New Quality Productive Forces,2026,10.1145/3786484.3786519,https://doi.org/10.1145/3786484.3786519,"Addressing the industrial transformation challenges driven by the development of&nbsp;New Quality Productive Forces (NQPF), this paper constructs a&nbsp;data-driven&nbsp;dynamic optimization model for vocational education program alignment. The model establishes a skill demand sensing system through&nbsp;multi-source data fusion, employs a hybrid algorithm combining the&nbsp;Grey Prediction Model&nbsp;and&nbsp;BP Neural Network&nbsp;to forecast skill demand trends, introduces&nbsp;knowledge graph technology&nbsp;to build dynamic mappings between programs and industries, and designs a&nbsp;feedback control mechanism&nbsp;to achieve continuous optimization of program alignment. Validation results from a case study on an intelligent manufacturing program cluster demonstrate that the model can improve  the&nbsp;alignment between programs and industries&nbsp;by 40%, providing an effective&nbsp;decision-support tool&nbsp;for vocational education to precisely serve the development of NQPF.",,Proceedings of the 2025 International Conference on Artificial Intelligence and Sustainable Development,,,222–226,Association for Computing Machinery,"data-driven, dynamic optimization model, knowledge graph, new quality productive forces, program alignment, vocational education",ICAISD '25,,5,"New York, NY, USA",9798400721267,,,,
