Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
An Adaptive Hybrid Quantum Algorithm for the Metric Traveling Salesman Problem,F. Li; A. Mazumder,"Department of Computer Science, George Mason University, Fairfax, USA; Department of Computer Science, George Mason University, Fairfax, USA",2023 IEEE International Parallel and Distributed Processing Symposium (IPDPS),18-Jul-23,2023,,,768,778,"In this paper, we design, analyze, and evaluate a hybrid quantum algorithm for the metric traveling salesman problem (TSP). TSP is a well-studied NP-complete problem that many algorithmic techniques have been developed for, on both classic computers and quantum computers. The existing literature of algorithms for TSP are neither adaptive to input data nor suitable for processing medium-size data on the modern classic and quantum machines. In this work, we leverage the classic computers’ power (large memory) and the quantum computers’ power (quantum parallelism), based on the input data, to fasten the hybrid algorithm’s overall running time. Our algorithmic ideas include trimming the input data efficiently using a classic algorithm, finding an optimal solution for the post-processed data using a quantum-only algorithm, and constructing an optimal solution for the untrimmed data input efficiently using a classic algorithm. We conduct experiments to compare our hybrid algorithm against the state-of-the-art classic and quantum algorithms on real data sets. The experimental results show that our solution truly outperforms the others and thus confirm our theoretical analysis. This work provides insightful quantitative tools for people and compilers to choose appropriate quantum or classical or hybrid algorithms, especially in the NISQ (noisy intermediate-scale quantum) era, for NP-complete problems such as TSP.",1530-2075,979-8-3503-3766-2,10.1109/IPDPS54959.2023.00082,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10177447,traveling salesman problem (TSP);metric TSP;classic algorithms;quantum algorithms,Computers;Distributed processing;Quantum algorithm;Traveling salesman problems;Parallel processing;Hybrid power systems;NP-complete problem,,3,,45,IEEE,18-Jul-23,15-19 May 2023,15-19 May 2023,IEEE,IEEE Conferences
A Practical Guide to Quantum Computing: Hands-on approach to quantum computing with Qiskit,E. F. Combarro; S. González-Castillo; I. F. Sertage,NA; NA; NA,A Practical Guide to Quantum Computing: Hands-on approach to quantum computing with Qiskit,,2025,,,,,"Learn about quantum information processing with Qiskit through hands-on projects. A foundational resource for STEM professionals, researchers and university students interested in quantum computers and algorithms.Key FeaturesUnderstand the theoretical foundations of quantum computingLearn how to use the Qiskit framework and how to run quantum algorithms with itDiscover top quantum algorithms like Grover’s search and Shor’s factoring methodsPurchase of the print or Kindle book includes a free PDF eBookBook DescriptionThis book is an introduction, from scratch, to quantum computing and the most important and foundational quantum algorithms—ranging from humble protocols such as Deutsch’s algorithm to ones with far-reaching potential, such as Shor’s factoring algorithm—offering clear explanations and a hands-on approach with runnable code on simulators and real hardware. The book is self-contained and does not assume any previous experience in quantum computing. Starting with a single qubit, it scales to algorithms using superposition and entanglement. At every step, examples of applications are provided, including how to create quantum money that is impossible to forge, quantum cryptography that cannot be broken, and algorithms for searching and factoring that are much faster than those that regular, non-quantum computers can use. Code for each of these algorithms is provided (and explained in detail) using Qiskit 2.1. After reading this book, you will understand how quantum algorithms work, how to write your own quantum programs, and how to run them on quantum simulators and actual quantum computers. You will also be prepared to take the jump into quantum algorithms for optimization and artificial intelligence, like those presented in our previous book, A Practical Guide to Quantum Machine Learning and Quantum Optimization. What you will learnUnderstand what makes a quantum computer uniqueMathematically represent the state of multi-qubit systemsDescribe the effects of measurements in quantum computersKnow how quantum superposition, entanglement, and interference workImplement and run any quantum algorithm in QiskitUnderstand how Shor's and Grover's algorithms workGain familiarity with quantum fault-tolerance and quantum advantageWho this book is forThis book would be ideal for university-level students in Computer Science, Mathematics, Physics or other STEM fields taking introductory-level courses on quantum computing. It also suits professionals, researchers and self-learners with a STEM background. Potential readers of our previous book, A Practical Guide to Quantum Machine Learning and Quantum Optimization, will benefit from first building foundational quantum computing skills with this book. ",,9.78184E+12,,,https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=11244246.pdf&bkn=11244246&pdfType=book,,,,,,,,12-Nov-25,,,Packt Publishing,Packt Publishing eBooks
Natural Embedding of the Stokes Parameters of Polarimetric Synthetic Aperture Radar Images in a Gate-Based Quantum Computer,S. Otgonbaatar; M. Datcu,"German Aerospace Center (DLR), Weßling, Germany; German Aerospace Center (DLR), Weßling, Germany",IEEE Transactions on Geoscience and Remote Sensing,02-Feb-22,2022,60,,1,8,"Quantum algorithms are designed to process quantum data (quantum bits) in a gate-based quantum computer. They are proven rigorously that they reveal quantum advantages over conventional algorithms when their inputs are certain quantum data or some classical data mapped to quantum data. However, in a practical domain, data are classical in nature, and they are very big in dimension, size, and so on. Hence, there is a challenge to map (embed) classical data to quantum data, and even no quantum advantages of quantum algorithms are demonstrated over conventional ones when one processes the mapped classical data in a gate-based quantum computer. For the practical domain of earth observation (EO), due to the different sensors on remote-sensing platforms, we can map directly some types of EO data to quantum data. In particular, we have polarimetric synthetic aperture radar (PolSAR) images characterized by polarized beams. A polarized state of the polarized beam and a quantum bit are the Doppelganger of a physical state. We map them to each other, and we name this direct mapping a natural embedding, otherwise an artificial embedding. Furthermore, we process our naturally embedded data in a gate-based quantum computer by using a quantum algorithm regardless of its quantum advantages over conventional techniques; namely, we use the QML network as a quantum algorithm to prove that we naturally embedded our data in input qubits of a gate-based quantum computer. Therefore, we employed and directly processed PolSAR images in a QML network. Furthermore, we designed and provided a QML network with an additional layer of a neural network, namely, a hybrid quantum-classical network, and demonstrate how to program (via optimization and backpropagation) this hybrid quantum-classical network when employing and processing PolSAR images. In this work, we used a gate-based quantum computer offered by an IBM Quantum and a classical simulator for a gate-based quantum computer. Our contribution is that we provided very specific EO data with a natural embedding feature, the Doppelganger of quantum bits, and processed them in a hybrid quantum-classical network. More importantly, in the future, these PolSAR data can be processed by future quantum algorithms and future quantum computing platforms to obtain (or demonstrate) some quantum advantages over conventional techniques for EO problems.",1558-0644,,10.1109/TGRS.2021.3110056,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9538388,Natural embedding;parameterized quantum circuit;polarimetric synthetic aperture radar (PolSAR);quantum machine learning (QML),Qubit;Stokes parameters;Scattering;Logic gates;Quantum algorithm;Water;Radar imaging,,17,,23,CCBY,15-Sep-21,2022,,IEEE,IEEE Journals
Financial Modeling Using Quantum Computing: Design and manage quantum machine learning solutions for financial analysis and decision making,A. Saxena; J. Mancilla; I. Montalban; C. Pere,NA; NA; NA; NA,Financial Modeling Using Quantum Computing: Design and manage quantum machine learning solutions for financial analysis and decision making,,2023,,,,,"Achieve optimized solutions for real-world financial problems using quantum machine learning algorithmsKey FeaturesLearn to solve financial analysis problems by harnessing quantum powerUnlock the benefits of quantum machine learning and its potential to solve problemsTrain QML to solve portfolio optimization and risk analytics problemsBook DescriptionQuantum computing has the potential to revolutionize the computing paradigm. By integrating quantum algorithms with artificial intelligence and machine learning, we can harness the power of qubits to deliver comprehensive and optimized solutions for intricate financial problems. This book offers step-by-step guidance on using various quantum algorithm frameworks within a Python environment, enabling you to tackle business challenges in finance. With the use of contrasting solutions from well-known Python libraries with quantum algorithms, you’ll discover the advantages of the quantum approach. Focusing on clarity, the authors expertly present complex quantum algorithms in a straightforward, yet comprehensive way. Throughout the book, you'll become adept at working with simple programs illustrating quantum computing principles. Gradually, you'll progress to more sophisticated programs and algorithms that harness the full power of quantum computing. By the end of this book, you’ll be able to design, implement and run your own quantum computing programs to turbocharge your financial modelling.What you will learnExplore framework, model and technique deployed for Quantum ComputingUnderstand the role of QC in financial modeling and simulationsApply Qiskit and Pennylane framework for financial modelingBuild and train models using the most well-known NISQ algorithmsExplore best practices for writing QML algorithmsUse QML algorithms to understand and solve data mining problemsWho this book is forThis book is for financial practitioners, quantitative analysts, or developers; looking to bring the power of quantum computing to their organizations. This is an essential resource written for finance professionals, who want to harness the power of quantum computers for solving real-world financial problems. A basic understanding of Python, calculus, linear algebra, and quantum computing is a prerequisite.",,9.7818E+12,,,https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10251373.pdf&bkn=10251373&pdfType=book,,,,,,,,14-Sep-23,,,Packt Publishing,Packt Publishing eBooks
Calibration-Aware Transpilation for Variational Quantum Optimization,Y. Ji; S. Brandhofer; I. Polian,"Institute of Computer Architecture and Computer Engineering, University of Stuttgart, Stuttgart, Germany; Institute of Computer Architecture and Computer Engineering, University of Stuttgart, Stuttgart, Germany; Institute of Computer Architecture and Computer Engineering, University of Stuttgart, Stuttgart, Germany",2022 IEEE International Conference on Quantum Computing and Engineering (QCE),22-Nov-22,2022,,,204,214,"Today’s Noisy Intermediate-Scale Quantum (NISQ) computers support only limited sets of available quantum gates and restricted connectivity. Therefore, quantum algorithms must be transpiled in order to become executable on a given NISQ computer; transpilation is a complex and computationally heavy process. Moreover, NISQ computers are affected by noise that changes over time, and periodic calibration provides relevant error rates that should be considered during transpilation. Variational algorithms, which form one main class of computations on NISQ platforms, produce a number of similar yet not identical quantum ""ansatz"" circuits. In this work, we present a transpilation methodology optimized for variational algorithms under potentially changing error rates. We divide transpilation into three steps: (1) noise-unaware and computationally heavy pre-transpilation; (2) fast noise-aware matching; and (3) fast decomposition followed by heuristic optimization. For a complete run of a variational algorithm under constant error rates, only step (3) needs to be executed for each new ansatz circuit. Step (2) is required only if the error rates reported by calibration have changed significantly since the beginning of the computation. The most expensive Step (1) is executed only once for the whole run. This distribution is helpful for incremental, calibration-aware transpilation when the variational algorithm adapts its own execution to changing error rates. Experimental results on IBM’s quantum computer show the low latency and robust results obtained by calibration-aware transpilation.",,978-1-6654-9113-6,10.1109/QCE53715.2022.00040,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9951287,Calibration-Aware;Transpilation;NISQ;QAOA;Benchmarking;Quantum Computing,Computers;Quantum computing;Quantum algorithm;Program processors;Error analysis;Logic gates;Calibration,,7,,34,IEEE,22-Nov-22,18-23 Sept. 2022,18-23 Sept. 2022,IEEE,IEEE Conferences
Memristor Crossbar Arrays Performing Quantum Algorithms,I. -A. Fyrigos; V. Ntinas; N. Vasileiadis; G. C. Sirakoulis; P. Dimitrakis; Y. Zhang; I. G. Karafyllidis,"Department of Electrical and Computer Engineering, Democritus University of Thrace (DUTh), Xanthi, Greece; Department of Electrical and Computer Engineering, Democritus University of Thrace (DUTh), Xanthi, Greece; Department of Electrical and Computer Engineering, Democritus University of Thrace (DUTh), Xanthi, Greece; Department of Electrical and Computer Engineering, Democritus University of Thrace (DUTh), Xanthi, Greece; Institute of Nanoscience and Nanotechnology, NCSR “Demokritos,”, Athens, Greece; Beijing Advanced Innovation Center for Big Data and Brain Computing, School of Integrated Circuit Science and Engineering, Fert Beijing Institute, Beihang University, Beijing, China; Department of Electrical and Computer Engineering, Democritus University of Thrace (DUTh), Xanthi, Greece",IEEE Transactions on Circuits and Systems I: Regular Papers,27-Jan-22,2022,69,2,552,563,"There is a growing interest in quantum computers and quantum algorithm development. It has been proved that ideal quantum computers, with zero error rates and large decoherence times, can solve problems that are intractable for today’s classical computers. Quantum computers use two resources, superposition and entanglement, that have no classical analog. Since quantum computer platforms that are currently available comprise only a few dozen of qubits, the use of quantum simulators is essential in developing and testing new quantum algorithms. We present a novel quantum simulator based on memristor crossbar circuits and use them to simulate well-known quantum algorithms, namely the Deutsch and Grover quantum algorithms. In quantum computing the dominant algebraic operations are matrix-vector multiplications. The execution time grows exponentially with the simulated number of qubits, causing an exponential slowdown in quantum algorithm execution using classical computers. In this work, we show that the inherent characteristics of memristor arrays can be used to overcome this problem and that memristor arrays can be used not only as independent quantum simulators but also as a part of a quantum computer stack where classical computers accelerators are connected. Our memristive crossbar circuits are re-configurable and can be programmed to simulate any quantum algorithm.",1558-0806,,10.1109/TCSI.2021.3123575,Hellenic Foundation for Research and Innovation (HFRI) through the HFRI Ph.D. Fellowship(grant numbers:927); General Secretariat for Research and Technology (GSRT) through the Greece-Russia Bilateral Joint Research Project MEM-Q funded by National and European funds(grant numbers:MIS T4ΔPΩ-00030/5021467); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9610620,Memristors;memristor crossbars;quantum algorithms;quantum simulators,Quantum computing;Qubit;Computers;Memristors;Quantum algorithm;Logic gates;Quantum entanglement,,20,,33,IEEE,10-Nov-21,Feb. 2022,,IEEE,IEEE Journals
ArsoNISQ: Analyzing Quantum Algorithms on Near-Term Architectures,S. Brandhofer; S. Devitt; I. Polian,"Center for Integrated Quantum Science and Technology (IQST), Institute of Computer Architecture and Computer Engineering, University of Stuttgart, Stuttgart, Germany; Centre for Quantum Software and Information, University of Technology Sydney, Sydney, Australia; Center for Integrated Quantum Science and Technology (IQST), Institute of Computer Architecture and Computer Engineering, University of Stuttgart, Stuttgart, Germany",2021 IEEE European Test Symposium (ETS),29-Jun-21,2021,,,1,6,"While scalable, fully error corrected quantum computing is years or even decades away, there is considerable interest in noisy intermediate-scale quantum computing (NISQ). In this paper, we introduce the ArsoNISQ framework that determines the tolerable error rate of a given quantum algorithm computation, i.e. quantum circuits, and the success probability of the computation given a success criterion and a NISQ computer. ArsoNISQ is based on simulations of quantum circuits subject to errors according to the Pauli error model.ArsoNISQ was evaluated on a set of quantum algorithms that can incur a quantum speedup or are otherwise relevant to NISQ computing. Despite optimistic expectations in recent literature, we did not observe quantum algorithms with intrinsic robustness, i.e. algorithms that tolerate one error on average, in this evaluation. The evaluation demonstrated, however, that the quantum circuit size sets an upper bound for its tolerable error rate and quantified the difference in tolerate error rates for quantum circuits of similar sizes. Thus, the framework can assist quantum algorithm developers in improving their implementation and selecting a suitable NISQ computing platform. Extrapolating the results into the quantum advantage regime suggests that the error rate of larger quantum computers must decrease substantially or active quantum error correction will need to be deployed for most of the evaluated algorithms.",1558-1780,978-1-6654-1849-2,10.1109/ETS50041.2021.9465414,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9465414,Quantum Computing;NISQ Computing;Error Simulation;Error Tolerance Analysis;Quantum Algorithm Design,Quantum algorithm;Upper bound;Error analysis;Computational modeling;Logic gates;Robustness;Error correction,,4,,48,IEEE,29-Jun-21,24-28 May 2021,24-28 May 2021,IEEE,IEEE Conferences
Comparing Performance of Variational Quantum Algorithm Simulations on HPC Systems,M. de Pascale; T. V. Bauer; Y. J. Gambo; M. Hernández Vera; S. Huber; B. Mete; A. Jamadagni; A. Bentellis; M. Oliv; L. Iapichino; J. M. Lorenz,"Leibniz Supercomputing Centre of the Bavarian Academy of Sciences and Humanities (LRZ), Garching b. München, Germany; Leibniz Supercomputing Centre of the Bavarian Academy of Sciences and Humanities (LRZ), Garching b. München, Germany; Leibniz Supercomputing Centre of the Bavarian Academy of Sciences and Humanities (LRZ), Garching b. München, Germany; Leibniz Supercomputing Centre of the Bavarian Academy of Sciences and Humanities (LRZ), Garching b. München, Germany; Leibniz Supercomputing Centre of the Bavarian Academy of Sciences and Humanities (LRZ), Garching b. München, Germany; Leibniz Supercomputing Centre of the Bavarian Academy of Sciences and Humanities (LRZ), Garching b. München, Germany; Leibniz Supercomputing Centre of the Bavarian Academy of Sciences and Humanities (LRZ), Garching b. München, Germany; Fraunhofer Institute for Cognitive Systems IKS, München, Germany; Fraunhofer Institute for Cognitive Systems IKS, München, Germany; Leibniz Supercomputing Centre of the Bavarian Academy of Sciences and Humanities (LRZ), Garching b. München, Germany; Fraunhofer Institute for Cognitive Systems IKS, München, Germany",2025 IEEE International Conference on Quantum Computing and Engineering (QCE),01-Dec-25,2025,02,,21,27,"Variational quantum algorithms are of special importance in the research on quantum computing applications because of their applicability to current Noisy Intermediate-Scale Quantum (NISQ) devices. The main building blocks of these algorithms define a relatively large parameter space, making the comparison of results and performance between different approaches and software simulators cumbersome and prone to errors. In this paper, we employ a generic description of the problem, in terms of both Hamiltonian and ansatz, to consistently port a problem definition across different simulators. A use case relevant to current quantum hardware has been run on a set of HPC systems and software simulators to study the dependence of performance on the runtime environment, the scalability of the simulation codes, and the agreement between the physical results, respectively. The results show that our toolchain can successfully translate a problem definition between different simulators. On the other hand, variational algorithms are limited in their scaling by the long runtimes with respect to their memory footprint, so they expose limited parallelism to computation. This shortcoming is partially mitigated by using techniques like job arrays. The potential of the parser tool within the toolchain for exploring HPC performance and comparisons of results of variational algorithm simulations is highlighted.",,979-8-3315-5736-2,10.1109/QCE65121.2025.10287,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11249764,HPC simulations;Performance evaluation;Benchmarking;Variational Quantum Algorithms;Applications: chemistry;optimization,Performance evaluation;Runtime environment;Quantum algorithm;Scalability;Software algorithms;Parallel processing;Software;Hardware;Noise measurement;Optimization,,,,36,CCBY,01-Dec-25,30 Aug.-5 Sept. 2025,30 Aug.-5 Sept. 2025,IEEE,IEEE Conferences
Parametric Synthesis of Computational Circuits for Complex Quantum Algorithms in the Transport and Road Sphere,C. B. Pronin; A. V. Ostroukh; O. I. Maksimychev; N. G. Kuftinova; A. K. Yadav,"Department of Automated Control Systems, Moscow Automobile and Road Construction State Technical University (MADI), Moscow, Russia; Department of Automated Control Systems, Moscow Automobile and Road Construction State Technical University (MADI), Moscow, Russia; Department of Automated Control Systems, Moscow Automobile and Road Construction State Technical University (MADI), Moscow, Russia; Department of Automated Control Systems, Moscow Automobile and Road Construction State Technical University (MADI), Moscow, Russia; Department of Automated Control Systems, Moscow Automobile and Road Construction State Technical University (MADI), Moscow, Russia",2022 Intelligent Technologies and Electronic Devices in Vehicle and Road Transport Complex (TIRVED),01-Dec-22,2022,,,1,4,"Since quantum computing technologies are still in their early development phase, quantum circuits are created mainly by manual placement of logic elements. This development approach has the drawback of becoming inefficient due to lack of human comprehension when analyzing large circuits that correspond to complex algorithms. Because, even a slight increase in the number of operations in a quantum algorithm, could lead to the significant increase in size of its corresponding quantum circuit. Therefore, the purpose of creating Quantum Circuit Synthesizer ""Naginata"" is to improve the development and debugging processes of quantum circuits by introducing dynamically scalable compositions for common operations such as: the adder, multiplier, digital comparator (comparison operator), etc., turning them into building blocks for quantum programs, as well as providing a stable platform for creating more of these compositions. This way, our quantum synthesizer is opening an opportunity to implement quantum algorithms using higher-level commands. The programmer could implement a quantum algorithm with these generic blocks, and the quantum synthesizer would create a suitable circuit for this algorithm, in a format that is supported by the chosen quantum computation environment. With the help of simple command logging and using coding for building quantum circuits, this approach has the potential to significantly simplify and enhance the development and debugging processes of quantum circuits. The proposed approach for implementing quantum algorithms could have a potential application in the field of machine learning, in this regard, we provided an example of creating a circuit for training a simple neural network. Neural networks have a significant impact on the technological development of the transport and road complex, and there is a potential for improving the reliability and efficiency of their learning process by utilizing quantum computation.",,979-8-3503-9770-3,10.1109/TIRVED56496.2022.9965530,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9965530,quantum synthesizer;quantum circuit synthesis;quantum machine learning;quantum algorithms;neural networks;quantum computing;Grover’s algorithm,Training;Quantum computing;Quantum algorithm;Synthesizers;Roads;Computational modeling;Neural networks,,5,,17,IEEE,01-Dec-22,10-11 Nov. 2022,10-11 Nov. 2022,IEEE,IEEE Conferences
Enhancing Quantum Machine Learning Algorithms for Optimized Financial Portfolio Management,N. K. Bhasin; S. Kadyan; K. Santosh; R. HP; R. Changala; B. K. Bala,"Amity University, Zonal Head Indian Institute of Banking and Finance, Delhi, India; School of Management and Commerce, Manav Rachna University, Faridabad, Haryana, India; Department of MBA, CMR Institute of Technology, Bengaluru, India; Department of Management Studies (MBA), Dayananda Sagar College of Engineering, Bangalore, India; Department of Information Technology, Guru Nanak Institutions Technical Campus, Hyderabad, India; Department of AI & DS, K.Ramakrishnan College of Engineering, Trichy, Tamil Nadu, India","2024 Third International Conference on Intelligent Techniques in Control, Optimization and Signal Processing (INCOS)",16-May-24,2024,,,1,7,"Advancements in quantum machine learning offer unprecedented potential to revolutionize financial portfolio optimization, maximizing returns while managing risks efficiently. This study focuses on advancing quantum machine learning algorithms for optimal financial portfolio management, presenting a novel approach implemented in Python that outperforms existing methods. The algorithm's capability to generate such substantial returns over time positions it as a groundbreaking tool for portfolio optimization in the dynamic landscape of financial markets. In the pursuit of enhancing quantum machine learning algorithms, this research focuses on the development and optimization of the QSVM algorithm. Leveraging Python for implementation, the study considers critical factors such as quantum circuit optimization, noise mitigation, and the integration of classical and quantum components to achieve superior results. The achieved portfolio performance over time not only underscores the algorithm's efficacy but also signifies a quantum advantage in financial decision-making. The implementation in Python ensures accessibility and applicability, facilitating the integration of this advanced quantum algorithm into existing financial frameworks. This research contributes to the evolving field of quantum finance, showcasing the potential of quantum machine learning in optimizing financial portfolios. The findings not only validate the superior performance of the proposed QSVM but also highlight the broader implications for the future of financial decision support systems, where quantum algorithms could play a transformative role in enhancing portfolio management strategies. The proposed Quantum Support Vector Machine (QSVM) demonstrates unparalleled success, with a remarkable Portfolio performance over time of 89.65%. This result significantly surpasses existing quantum algorithms, including Quantum Principal Component Analysis (QPCA), Quantum Boltzmann Machines (QBM), and Quantum K-Means Clustering (QKC), by an impressive margin of 25.15%.",,979-8-3503-6118-6,10.1109/INCOS59338.2024.10527612,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10527612,Financial Portfolio Management;Quantum Support Vector Machine (QSVM);Quantum Machine Learning;Quantum Principal Component Analysis (QPCA);Quantum;Boltzmann Machines (QBM);Quantum K-Means Clustering (QKC),Support vector machines;Machine learning algorithms;Quantum algorithm;Heuristic algorithms;Signal processing algorithms;Machine learning;Quantum circuit,,19,,16,IEEE,16-May-24,14-16 March 2024,14-16 March 2024,IEEE,IEEE Conferences
