citation_key,entry_type,author,title,journal,booktitle,volume,number,pages,year,issn,isbn,doi,url,keywords,abstract,note,address,edition,editor,publisher,series
TENNICHE2026112579,article,Nesrine Tenniche and Toufik Bakir and Boubekeur Mendil and Lamine Brikh,Two-stage exploration–refinement optimization strategy for collision-free UAV path planning and adaptive backstepping control,Aerospace Science and Technology,,176,,112579,2026,1270-9638,,https://doi.org/10.1016/j.ast.2026.112579,https://www.sciencedirect.com/science/article/pii/S1270963826009582,"Hybrid metaheuristics, Water cycle algorithm, UAV path planning, Collision avoidance, Backstepping control, Evolutionary optimization","Efficient path planning and tracking control are critical for Unmanned Aerial Vehicle (UAV) quadrotors operating in indoor cluttered and dynamically constrained environments, where obstacles, nonlinear dynamics, and actuator limitations present major challenges. The Water Cycle Algorithm (WCA) has demonstrated strong potential for UAV trajectory optimization due to its rapid convergence and balanced exploration–exploitation behavior, but it often suffers from premature convergence and loss of population diversity in highly constrained search spaces. To overcome these limitations, this study proposes three hybrid WCA variants integrating evolutionary strategies from Genetic Algorithm (GA), Differential Evolution (DE), and a combined GA–DE mechanism. In the hybrid framework, GA, DE, or GA–DE is first used to perform global exploration and identify high-quality candidate solutions. These solutions are then perturbed to initialize the WCA population, enabling local refinement while maintaining diversity and avoiding stagnation. This two-stage exploration–refinement strategy enhances convergence speed and preserves population diversity. The hybrid algorithms generate smooth, dynamically feasible, and collision-free trajectories that satisfy UAV kinematic and dynamic constraints, including velocity, thrust, and torque limits. In a second stage, the Backstepping controller gains are optimized using the same hybrid algorithms to ensure precise and robust trajectory tracking. Simulation results show that GA–WCA, DE–WCA, and GA–DE–WCA consistently outperform the classical WCA and seventeen benchmark metaheuristics, delivering faster convergence, smoother trajectories, reduced energy consumption, and enhanced tracking accuracy. Among these variants, GA–DE–WCA achieves the best overall balance between exploration and exploitation, resulting in the highest overall performance.",,,,,,
ROCCA20261388,article,Dario Rocca and Jérôme F. Gonthier and Joshua Levin and Tobias Schäfer and Andreas Grüneis and Hong Woo Lee and Byeol Kang,Quantum simulation of carbon capture in periodic metal–organic frameworks,Digital Discovery,,5,3,1388-1400,2026,2635-098X,,https://doi.org/10.1039/d6dd00023a,https://www.sciencedirect.com/science/article/pii/S2635098X26000367,,"Carbon capture is vital for decarbonizing heavy industries such as steel and chemicals. Metal–organic frameworks (MOFs), with their high surface area and structural tunability, are promising materials for CO2 capture. This study focuses on Fe–MOF-74, a magnetic Mott insulator with exposed metal sites that enhance CO2 adsorption. Its strongly correlated electronic structure challenges standard DFT methods, which often yield inconsistent predictions. We initially benchmark adsorption energies using various DFT functionals, revealing substantial variability and underscoring the need for more accurate approaches, such as those provided by quantum computing. However, practical quantum algorithms are far less established for simulations of periodic materials, particularly when the plane-wave basis set—often comprising tens of thousands of basis vectors—is used. To address this, we employ an active space reduction strategy based on Wannier functions and natural orbital selection. Localized orbitals around the adsorption site are identified, and MP2 natural orbitals are used to improve convergence of correlation energies. Adsorption energies are then computed using a quantum number-preserving ansatz within the variational quantum eigensolver framework. In addition to classical simulations, we conduct quantum experiments using the sample-based quantum diagonalization method. Although current hardware limits the size of feasible simulations, our approach offers a more efficient and scalable path forward. These results advance the applicability of quantum algorithms to realistic models of carbon capture and periodic materials more broadly.",,,,,,
ZAGHDOUD2026114617,article,Radhia Zaghdoud and Issam Zidi and Olfa Ben Rhaiem and Salim El Khediri and Khaled Mesghouni,A hybrid NSGA-II and delayed local search approach for home healthcare scheduling and routing optimization,Applied Soft Computing,,191,,114617,2026,1568-4946,,https://doi.org/10.1016/j.asoc.2026.114617,https://www.sciencedirect.com/science/article/pii/S1568494626000657,"Home healthcare, Scheduling, Routing, NSGAII, Local search","The home healthcare sector has emerged as a vital component of modern healthcare systems, addressing the needs of aging populations and individuals with disabilities. However, efficiently managing caregiver schedules and routing while balancing service time windows, skill compatibility, and operational costs remains a critical challenge. This study tackles a multi-objective Home Healthcare Scheduling and Routing Problem (HHCSRP) by optimizing three competing objectives: minimizing total travel time, ensuring equitable workload distribution among caregivers, and reducing waiting time between patient visits. We propose a novel two-stage hybrid algorithm that strategically integrates the Non-Dominated Sorting Genetic Algorithm II (NSGA-II) with a tailored local search method. In the first stage, NSGA-II generates a diverse initial population over multiple generations, while the second stage embeds local search at mid-generations to refine solutions without premature convergence. Computational experiments using adapted Solomon’s Vehicle Routing Problem with Time Windows (VRPTW) benchmarks demonstrate the effectiveness of the algorithm. Our approach achieves superior hypervolume (0.57–0.86) and Pareto front diversity (|FP| = 94.27 on average), outperforming existing methods in balancing efficiency, fairness, and scalability. The results highlight the robustness of the method in handling large-scale instances (100 patients), offering a scalable tool for real-world home healthcare logistics. This work advances multi-objective optimization in healthcare operations, providing actionable insights for administrators to harmonize patient satisfaction and operational efficiency.",,,,,,
SHIRIN2026100356,article,Najnin Sultana Shirin and Md Mehedi Hasan and Md Kishor Morol and Nafiz Fahad and Md Tanzib Hosain and Md Jakir Hossen and Dip Nandi,"Quantum computing in medical diagnostics and treatment: A systematic review of trends, challenges and future directions",Intelligence-Based Medicine,,13,,100356,2026,2666-5212,,https://doi.org/10.1016/j.ibmed.2026.100356,https://www.sciencedirect.com/science/article/pii/S2666521226000141,"Quantum computing, Artificial intelligence, Medical diagnostics, Machine learning, Deep learning, Clinical decision support systems, Precision medicine, Quantum algorithms, Healthcare technology, Systematic review","The growing digitalization of medical diagnostics has resulted in massive amounts of complicated data, including medical imaging and genomic sequences, clinical writing and real-time patient monitoring. Classical machine learning (CML) has achieved amazing success in evaluating such data. But its computational restrictions hinder scalability and efficiency when dealing with high-dimensional biomedical problems. Quantum machine learning (QML) combines the principles of quantum computing (QC) with advanced learning algorithms to offer a transformative paradigm for digital healthcare. This paper provides a systematic overview of QML foundations including quantum data encoding (QDC), variational quantum circuits (VQC), kernel methods, and hybrid quantum classical models. This paper also focuses on their applications in medical imaging, genomics, natural language processing (NLP) for electronic health records, drug discovery and healthcare security. We present comparative insights between classical and quantum approaches such as slow processing of high-dimensional data, limited scalability and inefficiency in complex optimization problems. This review also emphasizes the emerging directions towards quantum-based personalized digital healthcare approaches. By combining medical science with quantum QML has the potential to revolutionize the future of precision diagnostics, treatment optimization and healthcare data security. This study also provides a valuable resource for those interested in quantum computing and researchers who want to stay updated on the fast-growing area.",,,,,,
LI2026140581,article,Demin Li and Tianyuan Wang and Kai Zhu and Haoxiang Gong and Xiaochen Dong and Alistair G.L. Borthwick and Hongda Shi,Hybrid algorithm optimization of moorings of a floating two-buoy wave energy converter,Energy,,348,,140581,2026,0360-5442,,https://doi.org/10.1016/j.energy.2026.140581,https://www.sciencedirect.com/science/article/pii/S0360544226006845,"Floating two-buoy wave energy converter, Hybrid mooring system, Global-local hybrid algorithm, Optimal mooring configuration","A fully coupled dynamic optimization framework is developed for designing the hybrid mooring system of a floating two-buoy wave energy converter (WEC). The framework integrates time-domain hydrodynamic analysis of nonlinear responses with a global–local hybrid optimization strategy. Four configurations are considered: hybrid mooring (HM), hybrid mooring with clump weights (HMW), hybrid mooring with floaters (HMF), and hybrid mooring with clump weights and floaters (HMWF). Ten global–local hybrid optimization techniques are evaluated. The coupled numerical framework is validated against experimental data from a 1:5 scale floating two-buoy WEC. Sensitivity and coupling analyses of mooring parameters are conducted to identify the optimal mooring solution and define parameter ranges for optimization. A large-scale comparative optimization analysis is carried out to determine the most effective optimization approach and to quantify the optimal mooring parameters by comparing the convergence characteristics and computational efficiency of the ten optimization strategies. Results indicate that the GA–PS hybrid method has the best global search capability and prediction accuracy, making it particularly well-suited for complex hybrid mooring optimization applications, while SM-based approaches serve as robust alternatives. Our findings provide practical design guidance that should enable the development of cost-effective, high-performance hybrid mooring systems for WEC applications at field scale.",,,,,,
CHEN2026154,article,Xiafei Chen and Hai Zeng and Zening Chen and Xue Jiang and Lijie Zhang and Xiaoping Liu,"A state estimation algorithm for a Stewart platform fusing an unscented Kalman filter, Newton iteration, and a neural network",Precision Engineering,,101,,154-166,2026,0141-6359,,https://doi.org/10.1016/j.precisioneng.2026.04.013,https://www.sciencedirect.com/science/article/pii/S0141635926001194,"Stewart platform, State estimation, Unscented Kalman filter, Newton iteration, Neural network","Accurate and robust state estimation of the Stewart platform is crucial for achieving high-precision motion control. However, traditional methods are often limited by the strong nonlinearity and highly coupled characteristics of the platform's kinematics, resulting in degraded estimation accuracy and robustness under singular poses and high sensor noise conditions. This paper proposes a state estimation algorithm for a Stewart platform fusing an unscented Kalman filter (UKF), Newton iteration, and a neural network (NN). First, the state prediction model of the Stewart platform is established, and the UKF algorithm is applied to perform real-time state estimation, effectively mitigating the impact of measurement noise. Subsequently, Newton iteration is utilized to further enhance estimation accuracy. Finally, an NN is introduced to adaptively compensate for estimation errors in singular pose regions. Experimental results on a hydraulically actuated Stewart platform indicate that, compared with the conventional Newton–NN hybrid algorithm, the proposed algorithm achieves more stable and reliable estimation performance in high-noise and near-singular operating conditions, while also offering significantly higher computational efficiency.",,,,,,
LIU2026140338,article,Peisheng Liu and Yanlai Zhou and Ming Chen and Chun Tang and Hua Chen and Fi-John Chang,Enhancing hydro energy synergy: Optimizing short-term pumped-storage power operations under high renewable energy penetration,Energy,,346,,140338,2026,0360-5442,,https://doi.org/10.1016/j.energy.2026.140338,https://www.sciencedirect.com/science/article/pii/S036054422600441X,"Pumped-storage power station, Operation optimization, Dynamic programming, Discrete differential dynamic programming","With the rapid expansion of renewable energy, pumped-storage power (PSP) stations play an increasingly vital role in stabilizing power systems and absorbing variable energy outputs. However, optimizing short-term PSP operations remains highly challenging due to the complexity of discrete decisions, nonlinear system dynamics, and strict physical constraints. While dynamic programming (DP) offers global search capabilities, its application is severely limited by state-space explosion and computational inefficiency. This study proposes a unified DP–Discrete Differential Dynamic Programming (DP-DDDP) framework with three strategies to address these challenges in a unified framework. By integrating DP's global search capability with DDDP's local refinement strengths, the algorithm bridges near-optimal performance and computational tractability. Three specifically adapted strategies, decision range restriction, dynamic corridor width adjustment, and iterative state discretization refinement, are integrated to enhance constraint handling and efficiency. The method is applied to the Heimifeng PSP station in Hunan Province, using real-world operational data and seasonally varying residual load scenarios. Results demonstrate that the hybrid algorithm consistently generates high-quality near-optimal solutions while ensuring deterministic operational stability. Compared to practical schemes, it reduces residual load variance by up to 58.8% and increases daily power generation benefits by up to 55.7%. It also reduces computation time from 1300 to 120 s and improves discrete constraint precision from 3% to 0.1%. This research makes a novel methodological contribution to power system optimization and demonstrates its real-world value as a scalable, high-precision tool for PSP scheduling. It provides a practical pathway for enhancing hydro energy synergy under high renewable energy penetration.",,,,,,
GE2026122921,article,Zhong Ge and Zhongze Yu and Zhen Lei and Lei Lang and Xiaoxia Bai and Genyu Xu and Ming Ma and Hongguang Zhang and Yinlian Yan and Yonghong Xu,A novel hybrid framework for state of charge estimation of lithium-ion batteries: Fusing online parameter identification with adaptive filter and deep learning models,Journal of Energy Storage,,172,,122921,2026,2352-152X,,https://doi.org/10.1016/j.est.2026.122921,https://www.sciencedirect.com/science/article/pii/S2352152X26025855,"Lithium-ion batteries, State of charge estimation, Online parameter identification, Beluga whale optimization algorithm, Data-model fusion","To improve lithium-ion battery SOC estimation under varying conditions, this paper proposes a fusion method combining model-driven and data-driven paradigms. The method integrates online-identified battery model parameters with adaptive Kalman filtering and neural networks. To overcome limitations of traditional recursive algorithms—such as local optima, noise sensitivity, and poor robustness—the beluga whale optimization (BWO) algorithm is used for online parameter identification of an equivalent circuit model. Leveraging its global search capability, BWO adapts to battery nonlinearity and dynamic conditions, enabling accurate parameter matching. To address the lack of mechanism in purely data-driven methods and the model accuracy dependence of purely model-driven approaches, a hybrid algorithm combining an adaptive extended Kalman filter (AEKF) with a CNN-LSTM network is proposed. The AEKF provides an initial SOC estimate, and the CNN-LSTM corrects the estimation error in real time. Experimental results show that the proposed BWO-AEKF-CNN-LSTM fusion algorithm achieves excellent performance under multiple operating conditions, temperatures, and material systems, with mean absolute error (MAE) below 0.36% and root mean square error (RMSE) below 0.40%, demonstrating superior adaptability and reliability.",,,,,,
SINGH2025200365,article,Shailendra Pratap Singh and Naween Kumar and Gyanendra Kumar and Ahamed Shafeeq B.M.,A hybrid deep learning and differential evolution approach for accurate fake news detection,Systems and Soft Computing,,7,,200365,2025,2772-9419,,https://doi.org/10.1016/j.sasc.2025.200365,https://www.sciencedirect.com/science/article/pii/S2772941925001838,"Multi-objective optimization, Human optimization, Whale optimization algorithms, Hybrid algorithm, Internet of Things","The rapid spread of misinformation on digital platforms has led to widespread trust breakdowns, influencing critical decisions in politics, healthcare, and finance. Existing fake news detection methods often struggle with scalability, accuracy, and adaptability, necessitating more robust and efficient solutions. The proposed study combines deep learning with Differential Evolution optimization in a hybrid method to improve fake news detection accuracy and system efficiency. This study presents a novel hybrid approach combining deep learning techniques with Differential Evolution (DE) optimization to enhance the accuracy and scalability of fake news detection systems. The proposed framework integrates Convolutional Neural Networks (CNNs), Long Short-Term Memory (LSTM) networks, and attention mechanisms for robust feature extraction and classification. By leveraging DE optimization, the model fine-tunes its parameters for improved convergence and detection performance. Experimental results on benchmark datasets demonstrate that the hybrid approach achieves superior accuracy, precision, recall, and F1-score compared to existing methods such as Particle Swarm Optimization (PSO), Genetic Algorithm (GA), and standalone deep learning models. This research highlights the effectiveness of integrating advanced optimization techniques with deep learning to mitigate the challenges of misinformation dissemination and offers a scalable solution for real-time detection of fake news.",,,,,,
TURAB2026117857,article,Ali Turab and Jahanzaib Latif and Shujaat Ali Zaidi and Abid Hussain,NOISE-VQA: Convergence and complexity analysis of variational quantum algorithms with finite-shot and biased oracles,Journal of Computational and Applied Mathematics,,488,,117857,2026,0377-0427,,https://doi.org/10.1016/j.cam.2026.117857,https://www.sciencedirect.com/science/article/pii/S0377042726004991,"Variational quantum algorithms (VQA), Stochastic approximation, Finite-shot noise, Biased oracles, Shot complexity","Variational quantum algorithms (VQAs) rely on measurement-based estimates of objective values and gradients, so their training is affected by finite-shot randomness and device-induced bias. This paper studies VQAs through a stochastic-oracle framework in which objective and gradient evaluations are modeled as noisy and, in general, biased estimators. We derive explicit variance and bias characterizations for Pauli-based objective estimation and parameter-shift gradient estimators, and use stochastic-approximation methods to analyze the resulting optimization dynamics. In the unbiased regime, we establish convergence of the objective values together with stationarity-type asymptotic guarantees. In the biased regime, we characterize the limiting behavior through the associated mean field h(θ)=∇C(θ)+b(θ). We also obtain nonasymptotic, noise-aware stationarity bounds under constant step sizes and translate the stochastic-oracle model into explicit iteration and shot-complexity guarantees. For parameter-shift gradients, we show that coefficient-weighted shot allocation minimizes the corresponding variance upper bound in the continuous-relaxation allocation problem under fixed budgets. Numerical studies are presented for an unbiased transverse-field Ising model VQE and for a biased 2-qubit H2 VQE under symmetric readout noise. The TFIM results are consistent with inverse shot-budget variance scaling, reduction of a gradient-noise proxy under coefficient-weighted allocation, and the onset of noise-dominated training. The H2 example illustrates persistent objective and gradient bias together with shot-controlled variance under a specific readout-induced bias mechanism. These results provide a unified framework for analyzing finite-shot noise and device-induced bias in variational quantum optimization.",,,,,,
