ID,ENTRYTYPE,abstract,author,booktitle,chapter,doi,eprint,isbn,journal,keywords,note,number,pages,publisher,title,url,volume,year
https://doi.org/10.1155/2022/8406307,article,"Aiming at the multiconstraint complex problem of path planning, a hybrid algorithm with fast convergence and fast obstacle avoidance is proposed. According to the actual aircraft, a multiconstrained path cost model with seven components is constructed and defined the parameters and penalty factors of each part. To improve the sensitivity of each part of the trace planning cost function, according to the inconsistency of the cost index unit and measurement range, the expert scoring method is used to configure and normalize the index with weight. Make full advantage of the ACO algorithm and the artificial potential field algorithm to form the ACA hybrid algorithm, a pheromone heuristic function improvement method is proposed, and a control factor is introduced. The proposed model and planning algorithm are simulated based on the MATLAB platform environment, and it is shown by simulations that the hybrid algorithm has obvious advantages in terms of motion trajectory smoothness, number of iterations, and minimum path cost .It well solved the practical application problem of fast path planning convergence and fast avoiding obstacles in the complex environment.","Wang, Hongyun and Gao, Min and Gao, Weiwei and Li, Wenzhao",,,https://doi.org/10.1155/2022/8406307,https://onlinelibrary.wiley.com/doi/pdf/10.1155/2022/8406307,,International Journal of Aerospace Engineering,,,1,8406307,,Research on Complex Multiconstraint Path Planning Based on ACA Hybrid Algorithm,https://onlinelibrary.wiley.com/doi/abs/10.1155/2022/8406307,2022,2022
https://doi.org/10.1155/2013/378568,article,"We propose a hybrid algorithm based on estimation of distribution algorithm (EDA) and Nelder-Mead simplex method (NM) to solve a class of nonlinear bilevel programming problems where the follower’s problem is linear with respect to the lower level variable. The bilevel programming is an NP-hard optimization problem, for which EDA-NM is applied as a new tool aiming at obtaining global optimal solutions of such a problem. In fact, EDA-NM is very easy to be implementedsince it does not require gradients information. Moreover, the hybrid algorithm intends to produce faster and more accurate convergence. In the proposed approach, for fixed upper level variable, we make use of the optimality conditions of linear programming to deal with the follower’s problem and obtain its optimal solution. Further, the leader’s objective function is taken as the fitness function. Based on these schemes, the hybrid algorithm is designed by combining EDA with NM. To verify the performance of EDA-NM, simulations on some test problems are made, and the results demonstrate that the proposed algorithm has a better performance than the compared algorithms. Finally, the proposed approach is used to solve a practical example about pollution charges problem.","Ren, Aihong and Wang, Yuping and Jia, Fei",,,https://doi.org/10.1155/2013/378568,https://onlinelibrary.wiley.com/doi/pdf/10.1155/2013/378568,,Journal of Applied Mathematics,,,1,378568,,A Hybrid Estimation of Distribution Algorithm and Nelder-Mead Simplex Method for Solving a Class of Nonlinear Bilevel Programming Problems,https://onlinelibrary.wiley.com/doi/abs/10.1155/2013/378568,2013,2013
https://doi.org/10.1155/2007/27383,article,"This paper presents a novel hybrid algorithm based on particle swarm optimization (PSO) and noising metaheuristics for solving the single-source shortest-path problem (SPP) commonly encountered in graph theory. This hybrid search process combines PSO for iteratively finding a population of better solutions and noising method for diversifying the search scheme to solve this problem. A new encoding/decoding scheme based on heuristics has been devised for representing the SPP parameters as a particle in PSO. Noising-method-based metaheuristics (noisy local search) have been incorporated in order to enhance the overall search efficiency. In particular, an iteration of the proposed hybrid algorithm consists of a standard PSO iteration and few trials of noising scheme applied to each better/improved particle for local search, where the neighborhood of each such particle is noisily explored with an elementary transformation of the particle so as to escape possible local minima and to diversify the search. Simulation results on several networks with random topologies are used to illustrate the efficiency of the proposed hybrid algorithm for shortest-path computation. The proposed algorithm can be used as a platform for solving other NP-hard SPPs.","Mohemmed, Ammar W. and Sahoo, Nirod Chandra",,,https://doi.org/10.1155/2007/27383,https://onlinelibrary.wiley.com/doi/pdf/10.1155/2007/27383,,Discrete Dynamics in Nature and Society,,,1,027383,,Efficient Computation of Shortest Paths in Networks Using Particle Swarm Optimization and Noising Metaheuristics,https://onlinelibrary.wiley.com/doi/abs/10.1155/2007/27383,2007,2007
https://doi.org/10.1155/2014/693128,article,A hybrid optimization method is presented to optimum seismic design of steel frames considering four performance levels. These performance levels are considered to determine the optimum design of structures to reduce the structural cost. A pushover analysis of steel building frameworks subject to equivalent-static earthquake loading is utilized. The algorithm is based on the concepts of the charged system search in which each agent is affected by local and global best positions stored in the charged memory considering the governing laws of electrical physics. Comparison of the results of the hybrid algorithm with those of other metaheuristic algorithms shows the efficiency of the hybrid algorithm.,"Talatahari, S. and Hosseini, A. and Mirghaderi, S. R. and Rezazadeh, F.",,,https://doi.org/10.1155/2014/693128,https://onlinelibrary.wiley.com/doi/pdf/10.1155/2014/693128,,Mathematical Problems in Engineering,,,1,693128,,Optimum Performance-Based Seismic Design Using a Hybrid Optimization Algorithm,https://onlinelibrary.wiley.com/doi/abs/10.1155/2014/693128,2014,2014
https://doi.org/10.1111/j.1467-842X.2009.00543.x,article,"Summary The variational approach to Bayesian inference enables simultaneous estimation of model parameters and model complexity. An interesting feature of this approach is that it also leads to an automatic choice of model complexity. Empirical results from the analysis of hidden Markov models with Gaussian observation densities illustrate this. If the variational algorithm is initialized with a large number of hidden states, redundant states are eliminated as the method converges to a solution, thereby leading to a selection of the number of hidden states. In addition, through the use of a variational approximation, the deviance information criterion for Bayesian model selection can be extended to the hidden Markov model framework. Calculation of the deviance information criterion provides a further tool for model selection, which can be used in conjunction with the variational approach.","McGrory, C. A. and Titterington, D. M.",,,https://doi.org/10.1111/j.1467-842X.2009.00543.x,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1467-842X.2009.00543.x,,Australian \& New Zealand Journal of Statistics,"Bayesian analysis, deviance information criterion (DIC), hidden Markov model, variational approximation",,2,227-244,,VARIATIONAL BAYESIAN ANALYSIS FOR HIDDEN MARKOV MODELS,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-842X.2009.00543.x,51,2009
https://doi.org/10.1002/cpe.8233,article,"Summary This paper proposes a supply chain network design method suitable for multi-product and multi-inventory models, and uses the improved BP neural network to evaluate and provide feedback on the collaborative performance of the supply chain, adjusting the supply chain network design scheme on time. In the context of the Internet of Things (IoT) in manufacturing, it has been found that supply chain operations are difficult to meet personalized customer needs with high precision and quality. Therefore, we adopted a dynamic library strategy, supply chain network optimization model, hybrid algorithm, and the improved BP neural network to solve the above problems. First, this paper designs a corresponding inventory strategy selection mechanism for the various ordering methods of retailers in the manufacturing IoT environment. Based on this, we have constructed a dual objective model for a sustainable supply chain network to minimize total cost and maximize customer satisfaction. Second, we have developed a hybrid improved Grey Wolf and Whale Algorithm (OLDGWOA) that can accurately solve the above model. The hybrid algorithm divides the population into two parts through opposition-based learning, and then we use the improved grey wolf algorithm and whale algorithm to solve the two populations, and seek the optimal solution in the results, resulting in a hybrid algorithm. Finally, we constructed a supply chain performance evaluation model and feedback mechanism based on the improved BP neural network to adjust inventory strategies and network design at any time. We also validated the developed model and algorithm through numerical examples, and the results showed that: (1) the hybrid algorithm has certain advantages in search and solution speed, (2) the advantages of supply chain network design based on supply chain performance evaluation and feedback mechanisms, and (3) the trade-off between ordering methods and inventory strategies, as well as the trade-off between location and inventory strategies.","Wu, Yao and Liu, Weiwei",,,https://doi.org/10.1002/cpe.8233,https://onlinelibrary.wiley.com/doi/pdf/10.1002/cpe.8233,,Concurrency and Computation: Practice and Experience,"BP neural network, intelligent optimization algorithm, inventory strategy selection, manufacturing the Internet of Things, supply chain network design",,23,e8233,,Optimization design of supply chain network based on BP neural network performance evaluation and feedback mechanism,https://onlinelibrary.wiley.com/doi/abs/10.1002/cpe.8233,36,2024
https://doi.org/10.1002/cpe.4157,article,"Summary The paper illustrates a parallel and distributed scheme for computing a planar Delaunay triangulation using a divide-and-conquer strategy in Cloud environment, which combines the incremental insertion algorithm and the divide-and-conquer method. The proposed hybrid algorithm for Delaunay triangulation construction is easy to be parallelized due to the dynamic pruned characteristic of the binary tree model used. Moreover, the Cloud platform decreases the communication overhead and improves data locality by making use of a data partitioning and integrating scheme offered by the map-reduce architecture. The implementation of the parallel and distributed version of the algorithm relied on a robust data structure called quad-edge, which implies the geometric relationship among the edges and vertexes adjacent. More importantly, the data are serialized easily and transmitted efficiently between different Cloud nodes; the algorithm is executed conveniently on PC clusters. We tested the parallel version of the algorithm on GeoKSCloud, a geographical knowledge service Cloud developed by our research team. Experimental results show that the proposed hybrid algorithm is efficient and competitive; it can be easily migrated and deployed in distributed and parallel computing environment, such as grid and Cloud. The parallel implementation of the hybrid algorithm has a good speed-up, while data communication is the crucial factor for the efficiency of the parallel version. Overall, the parallel version outperforms both the sequential divide-and-conquer algorithm and the sequential incremental insertion algorithm.","Lin, Jiaxiang and Chen, Riqing and Wu, Liping and Shu, Zhaogang and Yang, Changcai",,,https://doi.org/10.1002/cpe.4157,https://onlinelibrary.wiley.com/doi/pdf/10.1002/cpe.4157,,Concurrency and Computation: Practice and Experience,"Delaunay TIN, distributed and parallel, cloud services, divide and conquer, incremental insertion",e4157 cpe.4157,24,e4157,,Adaptive parallel Delaunay triangulation construction with dynamic pruned binary tree model in Cloud,https://onlinelibrary.wiley.com/doi/abs/10.1002/cpe.4157,29,2017
https://doi.org/10.1002/ijc.30539,article,"This study sought to establish the feasibility of using in situ depth-resolved nuclear morphology measurements for detection of cervical dysplasia. Forty enrolled patients received routine cervical colposcopy with angle-resolved low coherence interferometry (a/LCI) measurements of nuclear morphology. a/LCI scans from 63 tissue sites were compared to histopathological analysis of co-registered biopsy specimens which were classified as benign, low-grade squamous intraepithelial lesion (LSIL), or high-grade squamous intraepithelial lesion (HSIL). Results were dichotomized as dysplastic (LSIL/HSIL) versus non-dysplastic and HSIL versus LSIL/benign to determine both accuracy and potential clinical utility of a/LCI nuclear morphology measurements. Analysis of a/LCI data was conducted using both traditional Mie theory based processing and a new hybrid algorithm that provides improved processing speed to ascertain the feasibility of real-time measurements. Analysis of depth-resolved nuclear morphology data revealed a/LCI was able to detect a significant increase in the nuclear diameter at the depth bin containing the basal layer of the epithelium for dysplastic versus non-dysplastic and HSIL versus LSIL/Benign biopsy sites (both p < 0.001). Both processing techniques resulted in high sensitivity and specificity (>0.80) in identifying dysplastic biopsies and HSIL. The hybrid algorithm demonstrated a threefold decrease in processing time at a slight cost in classification accuracy. The results demonstrate the feasibility of using a/LCI as an adjunctive clinical tool for detecting cervical dysplasia and guiding the identification of optimal biopsy sites. The faster speed from the hybrid algorithm offers a promising approach for real-time clinical analysis.","Ho, Derek and Drake, Tyler K. and Smith-McCune, Karen K. and Darragh, Teresa M. and Hwang, Loris Y. and Wax, Adam",,,https://doi.org/10.1002/ijc.30539,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ijc.30539,,International Journal of Cancer,"cervical cancer, a/LCI, cancer screening, cancer nuclear morphology, optical biopsy",,6,1447-1456,,Feasibility of clinical detection of cervical dysplasia using angle-resolved low coherence interferometry measurements of depth-resolved nuclear morphology,https://onlinelibrary.wiley.com/doi/abs/10.1002/ijc.30539,140,2017
https://doi.org/10.1002/net.20420,article,"Abstract In this article, we propose a Lagrangian relaxation framework to solve the vertex separator problem (VSP). This framework is based on the development of relax-and-cut algorithms which embed the separation of valid inequalities for the VSP discussed by Balas and de Souza (Math Program 103 (2005), 583–608) in the subgradient method. These relax-and-cut algorithms are then used as a preprocessing phase in a hybrid algorithm which combines them with branch-and-cut algorithms proposed by de Souza and Balas (Math Program 103 (2005), 609–631). This is done basically by feeding the branch-and-cut algorithms not only with the primal bound but also the cuts separated during the preprocessing phase. Computational results obtained with benchmarks from the literature showed that the hybrid algorithm developed here outperforms the best exact algorithm available for the VSP to date. © 2011 Wiley Periodicals, Inc. NETWORKS, 2011","de Souza, Cid C. and Cavalcante, Victor F.",,,https://doi.org/10.1002/net.20420,https://onlinelibrary.wiley.com/doi/pdf/10.1002/net.20420,,Networks,"Lagrangian relaxation, cutting planes, Integer Programming, relax-and-cut, vertex separator",,3,212-230,,Exact algorithms for the vertex separator problem in graphs,https://onlinelibrary.wiley.com/doi/abs/10.1002/net.20420,57,2011
https://doi.org/10.1049/ntw2.12057,article,"Abstract Everything can be connected in the Internet of Things (IoTs) technology that enables efficient communication between connected objects. IoTs industry-based meta-heuristic and mining algorithms, which are considered an important field of Artificial Intelligence will be used to construct a healthcare application in this study for lowering costs, increasing efficiency, accurate analysis of data and better care for patient. Meta-heuristic algorithms are now effective modelling and optimisation tools. The proposed framework offers hybrid meta-heuristic and mining algorithms to solve the optimisation and analysis issues. Grey Wolf Optimisation (GWO) applies a spiral-shaped path to assure diversity and convergence. To encourage convergence, the Genetic Algorithm (GA) is introduced. Also, we applied a support vector machine and Naïve Bayes for extracting and analysing important information for heart collected from sensors. The goals are to build Electronic Healthcare (E-Health), which includes establishing a link between patients and health providers to monitor, diagnose and save useful information. It is the foundation for accomplishing efficient and robust monitoring. The results offer that the IoTs framework is optimised and enhanced using the hybrid algorithm, which outperforms the GWO and GA, and the mining algorithms are more accurate with a hybrid algorithm than used mining with only GWO or GA.","Al-Hashimi, Muhaned and Mohammed Jameel, Shymaa and Husham Almukhtar, Firas and Abdul Zahra, Musaddak Maher and Adnan Jaleel, Refed",,,https://doi.org/10.1049/ntw2.12057,https://onlinelibrary.wiley.com/doi/pdf/10.1049/ntw2.12057,,IET Networks,"genetic algorithm, grey wolf optimisation, IoT, Naïve Bayes, support vector machine",,n/a,,,Optimised Internet of Thing framework based hybrid meta-heuristic algorithms for E-healthcare monitoring,https://onlinelibrary.wiley.com/doi/abs/10.1049/ntw2.12057,n/a,
