ID,ENTRYTYPE,title,author,year,journal,booktitle,doi,url,keywords,month,note,abstract,issn,address,publisher,series,location,numpages,pages,isbn,articleno,number,volume,issue_date,editor
10.1145/3803018,article,C2|Q>: A Robust Framework for Bridging Classical and Quantum Software Development,"Ye, Boshuai and Khan, Arif Ali and Pihkakoski, Teemu and Liang, Peng and Azeem Akbar, Muhammad and Silveri, Matti and Malmi, Lauri",2026,ACM Trans. Softw. Eng. Methodol.,,10.1145/3803018,https://doi.org/10.1145/3803018,"Quantum Computing, Quantum Software Development, Quantum Programming, Quantum Software Engineering",March,Just Accepted,"Quantum Software Engineering (QSE) is emerging as a critical discipline to make quantum computing accessible to a broader developer community; however, most quantum development environments still require developers to engage with low-level details across the software stack—including problem encoding, circuit construction, algorithm configuration, hardware selection, and result interpretation—making them difficult for classical software engineers to use. To bridge this gap, we present C2 (lvert Q rangle) , a hardware-agnostic quantum software development framework that translates specific types of classical specifications into quantum-executable programs while preserving methodological rigor. The framework applies modular software engineering principles by classifying the workflow into three core modules: an encoder that classifies problems, produces Quantum-Compatible Formats (QCFs), and constructs quantum circuits, a deployment module that generates circuits and recommends hardware based on fidelity, runtime, and cost, and a decoder that interprets quantum outputs into classical solutions. This architecture supports systematic evaluation across simulators and Noisy Intermediate-Scale Quantum (NISQ) quantum devices, remaining scalable to new problem classes and algorithms. In evaluation, the encoder module achieved a 93.8% completion rate, the hardware recommendation module consistently selected the appropriate quantum devices for workloads scaling up to 56 qubits. End-to-end experiments on 434 Python programs and 100 JSON problem instances demonstrate that the full C2 (lvert Q rangle)   workflow executes reliably on simulators and can be deployed successfully on representative real quantum hardware, with empirical runs limited to small- and medium-sized instances consistent with current NISQ capabilities. A proxy-based usability analysis further indicates substantial reductions in handwritten lines of code and explicit configuration steps compared to conventional quantum SDK workflows. These results indicate that C2 (lvert Q rangle) lowers the entry barrier to quantum software development by providing a reproducible, extensible toolchain that connects classical specifications to quantum execution. The open-source implementation of C2 (lvert Q rangle)   is available at  and as a ready-to-use Python package at .",1049-331X,"New York, NY, USA",Association for Computing Machinery,,,,,,,,,,
10.1145/3589014.3595066,inproceedings,A Comprehensive Introduction to the Intel Quantum SDK,"Wu, Xin-Chuan and Premaratne, Shavindra P. and Rasch, Kevin",2023,,Proceedings of the 2023 Introduction on Hybrid Quantum-Classical Programming Using C++ Quantum Extension,10.1145/3589014.3595066,https://doi.org/10.1145/3589014.3595066,,,,"The Intel(R) Quantum Software Development Kit (SDK) offers a comprehensive platform for developers to create quantum applications using an LLVM-based compiler with user-friendly C++ language extensions. This full-stack solution facilitates the expression and optimization of quantum circuits and includes a quantum runtime library for seamless hybrid execution between classical and quantum kernels. The runtime enables dynamic parameter determination for quantum circuits, allowing both quantum and classical components of variational algorithms to be defined within a single program, compiled once, and significantly reducing execution latency. The SDK features a suite of quantum simulators, including simulations of Intel's quantum hardware components such as qubit control processors, control electronics, and quantum dot qubits. With a unified interface, the Intel Quantum SDK allows users to target ideal qubit simulators, realistic Intel quantum hardware simulators, and future Intel quantum hardware, enabling efficient optimization, compilation, and execution of scalable hybrid quantum-classical variational algorithms.",,"New York, NY, USA",Association for Computing Machinery,HybridQC '23,"Orlando, FL, USA",2,1–2,9798400701672,,,,,
10.1145/3769694.3771146,inproceedings,AI Agents Assisted Platform for Secure Quantum-Classical Networking Education,"Parakh, Abhishek and Subramaniam, Mahadevan",2025,,Proceedings of the 26th ACM Annual Conference on Cybersecurity & Information Technology Education,10.1145/3769694.3771146,https://doi.org/10.1145/3769694.3771146,"Quantum networking education, AI-assisted learning, quantum workforce development",,,"This paper presents Sonata, an AI-agent-assisted platform designed to address the challenges of educating students in secure quantum-classical hybrid networking. By integrating a multi-agent AI framework with a quantum-classical network simulator and a learning objects repository, Sonata offers a hands-on, interactive learning environment. The platform leverages large language models to provide conversational interfaces, personalized feedback, and scenario generation, enabling students to explore complex quantum networking concepts without requiring extensive prior expertise. The system includes a user-friendly GUI for designing network topologies, a Python API for programmatic control, and educational modules tailored to various knowledge levels. Sonata aims to bridge the gap in quantum education by making transdisciplinary concepts accessible, fostering experiential learning, and preparing a workforce proficient in quantum information sciences.",,"New York, NY, USA",Association for Computing Machinery,SIGCITE '25,,7,127–133,9798400722400,,,,,
10.1145/3678185,article,Utilizing classical programming principles in the Intel Quantum SDK: implementation of quantum lattice Boltzmann method,"Shinde, Tejas and Budinski, Ljubomir and Niemim\""{a}ki, Ossi and Lahtinen, Valtteri and Liebelt, Helena and Li, Rui",2025,ACM Transactions on Quantum Computing,,10.1145/3678185,https://doi.org/10.1145/3678185,"Quantum computing, quantum algorithm, Intel Quantum SDK",January,,"We explore the use of classical programming techniques in implementing the quantum lattice Boltzmann method in the Intel Quantum SDK—a software tool for quantum circuit creation and execution on Intel quantum hardware. As hardware access is limited, we use the state vector simulator provided by the SDK. The novelty of this work lies in leveraging classical techniques for the implementation of quantum algorithms. We emphasize the refinement of algorithm implementation and devise strategies to enhance quantum circuits for better control over problem variables. To this end, we adopt classical principles such as modularization, which allows for systematic and controlled execution of complex algorithms. Furthermore, we discuss how the same implementation could be expanded from state vector simulations to execution on quantum hardware with minor adjustments in these configurations.",,"New York, NY, USA",Association for Computing Machinery,,,18,,,9,1,6,March 2025,
10.1145/3773656.3773669,inproceedings,"The Munich Quantum Software Stack: Connecting End Users, Integrating Diverse Quantum Technologies, Accelerating HPC","Burgholzer, Lukas and Echavarria, Jorge and Hopf, Patrick and Stade, Yannick and Rovara, Damian and Schmid, Ludwig and Kaya, Erc\""{u}ment and Mete, Burak and Farooqi, Muhammad Nufail and Chung, Minh and De Pascale, Marco and Schulz, Laura and Schulz, Martin and Wille, Robert",2026,,Proceedings of the Supercomputing Asia and International Conference on High Performance Computing in Asia Pacific Region,10.1145/3773656.3773669,https://doi.org/10.1145/3773656.3773669,"quantum computing, software stack, HPC, integration, accelerator, heterogeneous architectures, hybrid workflows",,,"Quantum computing is advancing rapidly, with notable progress in both hardware and algorithm development. However, to make quantum computing truly accessible and usable across disciplines, a comprehensive, efficient and unified software stack is essential. Such a software stack must be flexible enough to support diverse hardware platforms and evolving algorithms, while enabling programming models for a wide range of users from quantum specialists to users without deep quantum expertise. Additionally, a software stack must support dynamic resource management for efficient system utilization as well as seamless integration with classical High-Performance Computing (HPC) environments. The latter is key, as quantum systems are increasingly envisioned as accelerators within hybrid workflows, supporting various levels of integration from loosely to tightly coupled. Despite numerous discussions, conceptual proposals, and initial efforts in recent years, few tangible implementations of such full-featured software stacks currently exist. This paper introduces the Munich Quantum Software Stack (MQSS)—a modular, open-source, and community-driven ecosystem designed to support hybrid quantum-classical workflows and applications. We present the multi-layered architecture of MQSS, which enables a seamless execution of high-level user applications on heterogeneous quantum hardware back-ends, while also supporting the coupling with the corresponding classical workloads. Key components include front-end adapters for popular frameworks as well as new programming approaches, an HPC-integrated scheduler, a powerful MLIR-based compiler infrastructure, and a standardized hardware abstraction layer known as the Quantum Device Management Interface (QDMI). While still under active development, the MQSS already now offers sophisticated concepts and open-source implementations that lay the foundation for a robust quantum computing software stack, with a forward-looking design that also considers the future requirements of fault-tolerant quantum computing, such as support for various qubit encodings and mid-circuit measurements. More information on the MQSS is available at",,"New York, NY, USA",Association for Computing Machinery,SCA/HPCAsia '26,,13,55–67,9798400720673,,,,,
10.1145/3773656.3773674,inproceedings,EmuPlat: A Framework-Agnostic Platform for Quantum Hardware Emulation with Validated Transpiler-to-Pulse Pipeline,"Ye, Jun and Khoo, Jun Yong",2026,,Proceedings of the Supercomputing Asia and International Conference on High Performance Computing in Asia Pacific Region,10.1145/3773656.3773674,https://doi.org/10.1145/3773656.3773674,"quantum computing, hardware emulation, transpiler, pulse-level simulation, hybrid quantum-classical computing, framework interoperability",,,"We present EmuPlat, a framework-agnostic quantum hardware emulation platform that addresses the interoperability gap between high-level quantum programming frameworks and hardware-specific pulse control systems. Unlike existing solutions that operate within isolated software stacks, EmuPlat provides a unified infrastructure with an extensible architecture that supports multiple quantum computing frameworks through its adapter pattern design, and its current implementation demonstrates CUDA-Q integration via OpenQASM translation. The platform implements a complete transpiler-compiler pipeline that systematically transforms abstract quantum circuits through four validated stages: (1) recursive gate decomposition to a minimal native set (mathcal {G}_{text{native}} = lbrace I, Z, RZ(theta),text{GPI2}(phi), CZ, Mrbrace) , (2) virtual Z optimization implementing phase tracking without physical pulses, (3) connectivity-aware routing with automated SWAP insertion, and (4) deterministic pulse compilation respecting hardware timing constraints. Our modular architecture, based on clean architecture principles and featuring a novel adapter pattern, supports the extensible integration of multiple quantum dynamics simulation engines while maintaining consistent interfaces. We demonstrate EmuPlat’s capabilities through comprehensive benchmarks on superconducting transmon architectures: Bell-state preparation achieves high fidelity (>99.9%) with hardware-calibrated noise models, while 4-qubit Quantum Fourier Transform implementations validate the pipeline for moderately sized quantum systems. Virtual Z optimisation achieves an average 41% reduction in pulse count for phase-heavy algorithms. Compilation overhead analysis shows a total pipeline latency of 5-12ms, with framework translation accounting for 66-88% of the overhead. The platform’s production-ready implementation, validated through end-to-end testing with TransformationValidator, establishes EmuPlat as essential infrastructure for accelerating hybrid quantum-classical algorithm development and hardware-software co-design.",,"New York, NY, USA",Association for Computing Machinery,SCA/HPCAsia '26,,9,10–18,9798400720673,,,,,
10.1145/3731599.3767552,inproceedings,Tackling the Challenges of Adding Pulse-level Support to a Heterogeneous HPCQC Software Stack: MQSS Pulse,"Echavarria, Jorge and Farooqi, Muhammad Nufail and Devra, Amit and Lujan, Santana and Van Damme, L\'{e}o and Ahmed, Hossam and Letras, Mart\'{\i}n and Kaya, Erc\""{u}ment and Vetter, Adrian and Werninghaus, Max and Knudsen, Martin and Rohde, Felix and Frisch, Albert and Mansfield, Eric and Davletkaliyev, Rakhim and Kukushkin, Vladimir and F\""{a}rkkil\""{a}, Noora and M\""{a}ntyl\""{a}, Janne and Pomplun, Nikolas and Sp\""{o}rl, Andreas and Burgholzer, Lukas and Stade, Yannick and Wille, Robert and Schulz, Laura B. and Schulz, Martin",2025,,"Proceedings of the SC '25 Workshops of the International Conference for High Performance Computing, Networking, Storage and Analysis",10.1145/3731599.3767552,https://doi.org/10.1145/3731599.3767552,"HPCQC, JIT Compilation, Pulse-level Control, MLIR, QDMI, MQSS",,,"We study the problem of adding native pulse-level control to heterogeneous High Performance Computing-Quantum Computing (HPCQC) software stacks, using the Munich Quantum Software Stack (MQSS) as a case study. The goal is to expand the capabilities of HPCQC environments by offering the ability for low-level access and control, currently typically not foreseen for such hybrid systems. For this, we need to establish new interfaces that integrate such pulse-level control into the lower layers of the software stack, including the need for proper representation. Pulse-level quantum programs can be fully described with only three low-level abstractions: ports (input/output channels), frames (reference signals), and waveforms (pulse envelopes). We identify four key challenges to represent those pulse abstractions at: the user-interface level, at the compiler level (including the Intermediate Representation (IR)), and at the backend-interface level (including the appropriate exchange format). For each challenge, we propose concrete solutions in the context of MQSS. These include introducing a compiled (C/C++) pulse Application Programming Interface (API) to overcome Python runtime overhead, extending its LLVM support to include pulse-related instructions, using its C-based backend interface to query relevant hardware constraints, and designing a portable exchange format for pulse sequences. Our integrated approach provides an end-to-end path for pulse-aware compilation and runtime execution in HPCQC environments. This work lays out the architectural blueprint for extending HPCQC integration to support pulse-level quantum operations without disrupting state-of-the-art classical workflows.",,"New York, NY, USA",Association for Computing Machinery,SC Workshops '25,,11,1868–1878,9798400718717,,,,,
10.1145/3731599.3767549,inproceedings,Towards a user-centric HPC-QC environment,"Wennersteen, Aleksander and Moreau, Matthieu and Nober, Aurelien and Beji, Mourad",2025,,"Proceedings of the SC '25 Workshops of the International Conference for High Performance Computing, Networking, Storage and Analysis",10.1145/3731599.3767549,https://doi.org/10.1145/3731599.3767549,"HPC, Quantum Computing, Hybrid, HPCQC",,,"Robust execution environments are important for addressing key challenges in quantum computing, such as application development, portability, and reproducibility, and help unlock the development of modular quantum programs, driving forward hybrid quantum workflows. In this work, we show progress towards a basic, but portable, runtime environment for developing and executing hybrid quantum-classical programs running in High Performance Computing (HPC) environments enhanced with Quantum Processing Units (QPUs). The middleware includes a second layer of scheduling after the main HPC resource manager in order to improve the utilization of the QPU, and extra functionality for observability, monitoring, and admin access. This approach enables managing multiple programming Software Development Kits (SDKs) as first-class citizens in the environment by building on a recently proposed vendor-neutral Quantum Resource Management Interface (QRMI). Lastly, we discuss and show a solution for the monitoring and observability stack, completing our description of the hybrid system architecture.",,"New York, NY, USA",Association for Computing Machinery,SC Workshops '25,,9,1879–1887,9798400718717,,,,,
10.1145/3696630.3731625,inproceedings,Exploring Developers Discussion Forums for Quantum Software Engineering: A Fine-Grained Classification Approach Using Large Language Model (ChatGPT),"Husain, Mobashir and Khan, Muhammad Sohail and Khan, Javed Ali and Khan, Nek Dil and Khan, Arif and Akbar, Muhammad Azeem",2025,,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,10.1145/3696630.3731625,https://doi.org/10.1145/3696630.3731625,"quantum software engineering, repository mining, developer forums, stack overflow, machine and deep learning, natural language processing",,,"Quantum Software Engineering (QSE) has recently emerged as a potential research and development direction frequently practiced by many tech joints. However, quantum developers face challenges in optimizing quantum computing and QSE concepts. Quantum developers use the Stack Overflow (SO) platform to report and discuss quantum-related challenges. Also, quantum practitioners use specialized quantum tags to label quantum-related posts in developers' forums. However, these quantum tags referred to more technical quantum aspects than the developer posts. Therefore, categorizing quantum practitioners' questions based on quantum concepts can help quantum developers better identify frequently occurring challenges to QSE. For this purpose, we conducted qualitative and quantitative studies to classify quantum developers' questions into various frequently occurring quantum-related challenges. We extracted 2829 developers' questions from various Q&A platforms using queries and filters based on quantum-related tags. Next, the developers' posts on the Q&A forums were critically analyzed to identify frequently discussed quantum-related challenges and develop a novel grounded theory. The frequent quantum developer challenges identified by analyzing practitioners' discussions in the Q&A forums include Tooling, Theoretical, Learning, Conceptual, Errors, and API Usage. Moreover, using content analysis and grounded theory, the developers' discussions were annotated with commonly reported quantum challenges to develop a ground truth and a novel dataset. A Large Language model (ChatGPT) was used to validate the human annotation and overcome disagreements. Finally, various fine-tuned Deep and Machine learning (D&ML) classifiers automatically classify developer discussions into commonly reported quantum challenges. Additionally, to improve the classification results, we utilized textual data augmentation approaches, such as random deletion, swapping, and insertion with the D&ML classifiers. We obtained average accuracies of 89%, 86%, 84%, 84%, and 80% with FNN, CNN, LSTM, GRU, and RNN classifiers, respectively. This helps quantum researchers and vendors propose solutions and tools to frequently occurring issues for quantum developers.",,"New York, NY, USA",Association for Computing Machinery,FSE Companion '25,"Clarion Hotel Trondheim, Trondheim, Norway",14,1742–1755,9798400712760,,,,,
10.1145/3726301.3732296,inproceedings,A Digital Twin of Scalable Quantum Clouds,"Luo, Waylon and Baheri, Betis and Humble, Travis and Zhao, Jiapeng and Zhan, Tong and Maharjan, Rajan and Guan, Qiang",2025,,Proceedings of the 39th ACM SIGSIM Conference on Principles of Advanced Discrete Simulation,10.1145/3726301.3732296,https://doi.org/10.1145/3726301.3732296,"Quantum cloud computing, digital twins, quantum job scheduling, simulation frameworks",,,"Quantum computing has emerged as a transformative technology capable of solving complex problems beyond the limit of classical systems. The rapid development of quantum processors has led to the proliferation of cloud-based quantum computing services offered by platforms such as IBM, Google, and Amazon. These platforms introduce unique challenges in resource allocation, job scheduling, and multi-device orchestration as quantum workloads become increasingly complex. In this work, we present a digital twin of quantum cloud infrastructures: a framework designed to model and simulate the behavior of real quantum cloud systems. Developed in Python using the SimPy discrete-event simulation library, the framework replicates key aspects of quantum cloud environments, including detailed quantum device modeling, job lifecycle management, and job fidelity. It incorporates noise-aware fidelity estimation, making it the first of its kind to simulate superconducting gate-based quantum cloud systems at an administrative level with job fidelity. We present use cases as proof of concept, demonstrating that our quantum cloud simulation framework can act as a digital twin of a quantum cloud and support the modeling and implementation of practical systems.",,"New York, NY, USA",Association for Computing Machinery,SIGSIM-PADS '25,,11,165–175,9798400715914,,,,,
