Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
OpenMP-Q: Quantum Task Offloading in&#xa0;OpenMP,OpenMP: Balancing Productivity and Performance Portability,,,,10.1007/978-3-032-06343-4_6,Swastik MittalAtulya MaheshFrank Mueller,2026,https://link.springer.com/chapter/10.1007/978-3-032-06343-4_6,Conference paper
Comparative Study of Quantum Computing Tools and Frameworks,Innovation and Emerging Trends in Computing and Information Technologies,,,,10.1007/978-3-031-80842-5_8,Muhammad HamidBashir AlamOm Pal,2025,https://link.springer.com/chapter/10.1007/978-3-031-80842-5_8,Conference paper
AI-Driven Resource Optimization of&#xa0;Quantum Service Computing,Service-Oriented Computing,,,,10.1007/978-981-95-5015-9_26,Javier Romero-ÁlvarezJaime Alvarado-ValienteAntonio Jesus Sanchez-GilEnrique MoguelJose Garcia-Alonso,2026,https://link.springer.com/chapter/10.1007/978-981-95-5015-9_26,Conference paper
Introduction to&#xa0;Quantum Software Engineering,"Product-Focused Software Process Improvement. Industry, Doctoral-Symposium, Tutorial, and Workshop Papers",,,,10.1007/978-3-032-12092-2_11,Yoann MarquerDomenico Bianculli,2026,https://link.springer.com/chapter/10.1007/978-3-032-12092-2_11,Conference paper
Tools for Quantum Programming: A Review,Computer Science – CACIC 2024,,,,10.1007/978-3-032-00718-6_13,Luciano MarreroVerena OlsowyJuan Fernández SosaFernando TesoneLeonardo CorbalánPablo ThomasPatricia Pesado,2026,https://link.springer.com/chapter/10.1007/978-3-032-00718-6_13,Conference paper
Solving Prime Factorization Using Quantum Ising Model,SEET—Software Engineering for Emerging Technologies,,,,10.1007/978-3-032-08977-9_37,Wen-Li WangMei-Huei TangShahid HussainKevin Wang,2026,https://link.springer.com/chapter/10.1007/978-3-032-08977-9_37,Conference paper
Feasibility Study of&#xa0;a&#xa0;Hybrid Quantum-Classical Setup for&#xa0;Multiple GPUs and&#xa0;Two Photonic Quantum Computers,Parallel Processing and Applied Mathematics,,,,10.1007/978-3-031-85700-3_25,Mateusz SlyszPiotr RydlichowskiKrzysztof Kurowski,2025,https://link.springer.com/chapter/10.1007/978-3-031-85700-3_25,Conference paper
QEMI: A Quantum Software Stacks Testing Framework via Equivalence Modulo Inputs,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-032-22774-4_8,Junjie LuoShangzhou XiaFuyuan ZhangJianjun Zhao,2026,https://link.springer.com/chapter/10.1007/978-3-032-22774-4_8,Conference paper
A Quantum Ising Model for Solving Sudoku Puzzles,SEET—Software Engineering for Emerging Technologies,,,,10.1007/978-3-032-08977-9_26,Wen-Li WangMei-Huei TangShahid HussainKevin Wang,2026,https://link.springer.com/chapter/10.1007/978-3-032-08977-9_26,Conference paper
Towards Higher Abstraction Levels in&#xa0;Quantum Computing,Service-Oriented Computing – ICSOC 2023 Workshops,,,,10.1007/978-981-97-0989-2_13,Hermann FürntrattPaul SchnablFlorian KrebsRoland UnterbergerHerwig Zeiner,2024,https://link.springer.com/chapter/10.1007/978-981-97-0989-2_13,Conference paper
