Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
AI-Driven Resource Optimization of&#xa0;Quantum Service Computing,Service-Oriented Computing,,,,10.1007/978-981-95-5015-9_26,Javier Romero-ÁlvarezJaime Alvarado-ValienteAntonio Jesus Sanchez-GilEnrique MoguelJose Garcia-Alonso,2026,https://link.springer.com/chapter/10.1007/978-981-95-5015-9_26,Conference paper
Quantum Service-Oriented Computing: A&#xa0;Practical Introduction to&#xa0;Quantum Web Services and&#xa0;Quantum Workflows,Web Engineering,,,,10.1007/978-3-031-62362-2_45,Martin BeiselJose Garcia-AlonsoJuan M. MurilloBenjamin Weder,2024,https://link.springer.com/chapter/10.1007/978-3-031-62362-2_45,Conference paper
Comparative Study of Quantum Computing Tools and Frameworks,Innovation and Emerging Trends in Computing and Information Technologies,,,,10.1007/978-3-031-80842-5_8,Muhammad HamidBashir AlamOm Pal,2025,https://link.springer.com/chapter/10.1007/978-3-031-80842-5_8,Conference paper
QEMI: A Quantum Software Stacks Testing Framework via Equivalence Modulo Inputs,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-032-22774-4_8,Junjie LuoShangzhou XiaFuyuan ZhangJianjun Zhao,2026,https://link.springer.com/chapter/10.1007/978-3-032-22774-4_8,Conference paper
A Systematic Mapping Study on&#xa0;Toolchain Support for&#xa0;Quantum Computing as&#xa0;a&#xa0;Service,SEET—Software Engineering for Emerging Technologies,,,,10.1007/978-3-032-08977-9_31,Maryam Tavassoli Sabzevari,2026,https://link.springer.com/chapter/10.1007/978-3-032-08977-9_31,Conference paper
Power Consumption and&#xa0;Energy Efficiency of&#xa0;Quantum Computing Platforms in&#xa0;High Performance Computing Integration,Parallel Processing and Applied Mathematics,,,,10.1007/978-3-031-85700-3_24,Xiaolong DengMartin SchulzLaura Schulz,2025,https://link.springer.com/chapter/10.1007/978-3-031-85700-3_24,Conference paper
Acceleration of&#xa0;Core Post-quantum Cryptography Primitive on&#xa0;Open-Source Silicon Platform Through Hardware/Software Co-design,Cryptology and Network Security,,,,10.1007/978-981-97-8013-6_7,Emma UrquhartFrank Stajano,2025,https://link.springer.com/chapter/10.1007/978-981-97-8013-6_7,Conference paper
Quantum Factory Method: A Software Engineering Approach to&#xa0;Deal with&#xa0;Incompatibilities in&#xa0;Quantum Libraries,Computational Science – ICCS 2023,,,,10.1007/978-3-031-36030-5_6,Samuel Magaz-RomeroEduardo Mosqueira-ReyDiego Alvarez-EstevezVicente Moret-Bonillo,2023,https://link.springer.com/chapter/10.1007/978-3-031-36030-5_6,Conference paper
Uncomputation in&#xa0;the&#xa0;Qrisp High-Level Quantum Programming Framework,Reversible Computation,,,,10.1007/978-3-031-38100-3_11,Raphael SeidelNikolay TcholtchevSebastian BockManfred Hauswirth,2023,https://link.springer.com/chapter/10.1007/978-3-031-38100-3_11,Conference paper
QSOC: Quantum Service-Oriented Computing,Service-Oriented Computing,,,,10.1007/978-3-030-87568-8_3,Indika KumaraWillem-Jan Van Den HeuvelDamian A. Tamburri,2021,https://link.springer.com/chapter/10.1007/978-3-030-87568-8_3,Conference paper
