__type__,__key__,author,title,journal,booktitle,year,volume,number,pages,publisher,doi,url,isbn,issn,keywords,abstract,__source__,chapter,eprint,note
inbook,doi:https://doi.org/10.1002/9781394185542.ch1,,Introduction,,From Distributed Quantum Computing to Quantum Internet Computing,2023,,,1-16,"John Wiley & Sons, Ltd",https://doi.org/10.1002/9781394185542.ch1,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781394185542.ch1,9781394185542,,"commercial market, larger scale quantum computers, quantum computers, quantum hardware, quantum key distribution, quantum network architecture standard","Summary In the early 2000s, ID Quantique became one of the first companies to bring a quantum key distribution product to the commercial market. Quantum network architecture standard is being developed with the creation of the Quantum Internet Research Group. Several companies and number of universities have built quantum computers or are experimenting with quantum hardware concepts, research continues into building even larger scale quantum computers, and developing tools and software for programming quantum computers. A number of companies are also providing access to quantum computers via a cloud service model. For a collection of quantum computers to collaboratively perform computations, the computers might not just exchange classical information but also quantum information. The chapter also presents an overview on the key concepts discussed in this book.",pericles_exported_citations (1).bib,1,https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781394185542.ch1,
article,https://doi.org/10.1155/que2/7359832,"Zhang, Xin and Li, Xiaoyu and Hou, Yuexian",LFQAP: A Lightweight and Flexible Quantum Artificial Intelligence Application Platform,Quantum Engineering,,2025,2025,1,7359832,,https://doi.org/10.1155/que2/7359832,https://onlinelibrary.wiley.com/doi/abs/10.1155/que2/7359832,,,,"Quantum artificial intelligence (AI) is one of the critical research domains in the field of quantum computing and holds significant potential for practical applications in the near future. A quantum AI software platform serves as a fundamental infrastructure for advancing research and facilitating applications in this area. Such a platform supports essential tasks including quantum AI model training, inference, and the deployment of diverse applications. The current quantum AI software platforms prioritize comprehensive functionality; however, they often lack scalability, making it challenging to integrate new features flexibly. Given the broad and evolving research landscape of quantum AI algorithms, it is crucial to develop a software framework that is both user-friendly and capable of autonomous functional extension. In this paper, we present a lightweight, scalable, and open-source quantum AI platform designed to support the training and inference of variational quantum algorithms. This platform employs a hierarchical and structured architecture, enhancing the overall manageability and modularity of the software. Notably, it exhibits improved scalability, incorporating a compiler module for the first time. This module enables support for user-defined quantum devices, including both real physical quantum computers and quantum circuit simulators, as well as custom-defined optimizers. The platform integrates both tensor network simulator and full-amplitude simulator, providing powerful ability for quantum AI research. Utilizing these simulators, we conducted training experiments on three publicly available datasets and compared the results with TensorFlow Quantum. The experimental results validate the reliability and effectiveness of our platform, demonstrating its potential as a powerful tool for quantum AI applications.",pericles_exported_citations (1).bib,,https://onlinelibrary.wiley.com/doi/pdf/10.1155/que2/7359832,
article,https://doi.org/10.1049/qtc2.12101,"Alghadeer, Mohammed and Aldawsari, Eid and Selvarajan, Raja and Alutaibi, Khaled and Kais, Sabre and Alharbi, Fahhad H.",Psitrum: An open source simulator for universal quantum computers,IET Quantum Communication,,2024,5,4,586-600,,https://doi.org/10.1049/qtc2.12101,https://onlinelibrary.wiley.com/doi/abs/10.1049/qtc2.12101,,,"quantum computing, quantum information, quantum noise","Abstract Quantum computing is a radical new paradigm for a technology that is capable to revolutionise information processing. Simulators of universal quantum computer are important for understanding the basic principles and operations of the current noisy intermediate-scale quantum processors, and for building in future fault-tolerant quantum computers. As next-generation quantum technologies continue to advance, it is crucial to address the impact on education and training in quantum physics. The emergence of new industries driven by progress in quantum computing and simulation will create a demand for a specialised quantum workforce. In response to these challenges, the authors present Psitrum, an open-source simulator for universal quantum computers. Psitrum serves as a powerful educational and research tool, enabling a diverse range of stakeholders to understand the fundamental principles and operations of quantum systems. By offering a comprehensive platform for emulating and debugging quantum algorithms through quantum circuits, Psitrum aids in the exploration and analysis of various quantum applications using both MATLAB and MATLAB application programming interface to use the software on other platforms. Psitrum software and source codes are fully available at GitHub.",pericles_exported_citations (1).bib,,https://onlinelibrary.wiley.com/doi/pdf/10.1049/qtc2.12101,
article,https://doi.org/10.4218/etrij.2025-0299,"Lee, You-Seok and Lee, Jongheon and Kang, Yousung",QCrypton: An integrated platform for resource-based quantum security strength evaluation of cryptographic algorithms,ETRI Journal,,2026,48,3,397-407,,https://doi.org/10.4218/etrij.2025-0299,https://onlinelibrary.wiley.com/doi/abs/10.4218/etrij.2025-0299,,,"physical resource estimation, quantum computing, quantum security strength analysis","Abstract Quantum computing technology is driving transformative changes not only in the field of quantum computing but also across the broader domain of cryptography. As technology advances, the threat to conventional cryptographic systems is becoming increasingly tangible. This paper introduces the architecture and functionalities of the QCrypton platform, a quantum security strength analysis framework designed to quantitatively assess the quantum vulnerabilities inherent in various cryptographic algorithms. QCrypton provides an integrated environment that encompasses quantum circuit implementation, quantum simulation, and quantum library generation. In particular, it includes an analysis module for estimating the physical resource requirements for implementing quantum circuits in a Fault-Tolerant Quantum Computing (FTQC) environment. The capabilities of the platform are demonstrated through the implementation and resource-based analysis of fundamental components commonly used in cryptographic algorithms.",pericles_exported_citations (1).bib,,https://onlinelibrary.wiley.com/doi/pdf/10.4218/etrij.2025-0299,
article,https://doi.org/10.1002/spe.3326,"Romero-Álvarez, Javier and Alvarado-Valiente, Jaime and Moguel, Enrique and Garcia-Alonso, Jose and Murillo, Juan M.",Enabling continuous deployment techniques for quantum services,Software: Practice and Experience,,2024,54,8,1491-1515,,https://doi.org/10.1002/spe.3326,https://onlinelibrary.wiley.com/doi/abs/10.1002/spe.3326,,,"continuous deployment, OpenAPI, quantum computing, quantum services, quantum software engineering","Abstract Early advances in quantum computing have provided new opportunities to tackle intricate problems in diverse areas such as cryptography, optimization, and simulation. However, current methodologies employed in quantum computing often require, among other things, a broad understanding of quantum hardware and low-level programming languages, posing challenges to software developers in effectively creating and implementing quantum services. This study advocates the adoption of software engineering principles in quantum computing, thereby establishing a higher level of hardware abstraction that allows developers to focus on application development. With this proposal, developers can design and deploy quantum services with less effort, which is similar to the facilitation provided by service-oriented computing for the development of conventional software services. This study introduces a continuous deployment strategy adapted to the development of quantum services that covers the creation and deployment of such services. For this purpose, an extension of the OpenAPI specification is proposed, which allows the generation of services that implement quantum algorithms. The proposal was validated through the creation of an application programming interface with diverse quantum algorithm implementations and evaluated through a survey of various developers and students who were introduced to the tool with positive results.",pericles_exported_citations (1).bib,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/spe.3326,
article,https://doi.org/10.1002/spe.70051,"Gil-Serret, Raúl and Ortega, Gloria and Orts, Francisco",A Unified Interface for Framework-Agnostic Quantum Circuit Construction Based on Tokenized Text Input,Software: Practice and Experience,,2026,56,4,357-371,,https://doi.org/10.1002/spe.70051,https://onlinelibrary.wiley.com/doi/abs/10.1002/spe.70051,,,"domain-specific language, intermediate representation, multi-backend support, quantum circuit compilation, quantum software development","ABSTRACT Introduction The rapid growth of quantum computing frameworks such as Qiskit, Cirq, and Amazon Braket has accelerated quantum software development but has also introduced fragmentation in tools, syntax, and workflows. Methods This paper presents a lightweight and extensible interface for building quantum circuits from tokenized text input, enabling rapid prototyping and cross-framework compatibility. The proposed system defines a simple domain-specific language composed of quantum instruction tokens (e.g., H0, CNOT0-1) that are parsed into a unified intermediate representation. This intermediate form is then translated into executable quantum circuits across multiple backends using a modular translator architecture. In addition, the system supports user-defined gate decompositions through a configurable mapping mechanism. Results The proposed system is implemented in Python and evaluated across three major quantum software development kits. Experimental results demonstrate consistent and correct circuit generation across all supported backends. Conclusions The approach promotes abstraction, reusability, and readability in the quantum software development lifecycle, providing a practical solution to mitigate fragmentation across quantum programming frameworks.",pericles_exported_citations (1).bib,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/spe.70051,
article,https://doi.org/10.1049/iet-qtc.2020.0027,"Hassija, Vikas and Chamola, Vinay and Saxena, Vikas and Chanana, Vaibhav and Parashari, Prakhar and Mumtaz, Shahid and Guizani, Mohsen",Present landscape of quantum computing,IET Quantum Communication,,2020,1,2,42-48,,https://doi.org/10.1049/iet-qtc.2020.0027,https://onlinelibrary.wiley.com/doi/abs/10.1049/iet-qtc.2020.0027,,,"quantum computing, cloud computing, quantum computers, quantum computing","Quantum computing is currently a topic of interest that harnesses the phenomena of quantum mechanics. It can address several scientific challenges and generate new business opportunities. Recently, for the first time in the history of quantum computing, the authors are starting to see practical applications. Keeping this in mind, this article is designed to explore the field without any required prerequisites. The authors start with a brief overview of the fundamentals of quantum computing and also outline several applications. The timeline for widespread adoption cannot be predicted, but quite a few organisations have built the first generation of quantum computers using various hardware technologies. The authors have briefly covered the wide landscape of hardware technologies. The first generation of quantum computers can be programmed using available software development kits and accessed using online cloud services. Furthermore, the growing trend in investments and patents in the field of quantum computing is also presented. A major reason for this trend is the threat that quantum computers pose against cryptography.",pericles_exported_citations (1).bib,,https://onlinelibrary.wiley.com/doi/pdf/10.1049/iet-qtc.2020.0027,
inbook,doi:https://doi.org/10.1002/9781119766193.ch14,,Quantum Technologies,,Techno‐Nationalism,2024,,,219-235,"John Wiley & Sons, Ltd",https://doi.org/10.1002/9781119766193.ch14,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119766193.ch14,9781119766193,,"cryptography, geopolitics, quantum computing, quantum key distribution, quantum supremacy, techno-nationalism","Summary This chapter discusses the quantum developments viewed through the lens of techno-nationalism and geopolitics. Quantum computing operates on a much smaller scale, harnessing the strange quantum mechanical behaviour of individual atoms, electrons and photons. Quantum interference allows particles to become entangled, such that changes in one qubit simultaneously affect the qubits with which it is entangled, even when they are very far away from each other. This feature has powerful implications for cryptography and other applications. Given the need for hyper-specialised hardware, software and other esoteric services, big established companies and tech start-ups figure to play an important role in the race for quantum supremacy. China's quantum key distribution network used bursts of light bouncing off satellites to relay data-laden qubits in a fully encrypted state. Quantum Daily, a media platform that conducts research, performs analysis and provides data on market-leading companies, has documented a market map that shows U.S. firms dominating the computing space.",pericles_exported_citations (1).bib,14,https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781119766193.ch14,
article,https://doi.org/10.1002/jcc.25546,"Laloo, Jalal Z. A. and Savoo, Nandini and Laloo, Nassirah and Rhyman, Lydia and Ramasami, Ponnadurai",ExcelAutomat 1.3: Fragment analysis based on the distortion/interaction-activation strain model,Journal of Computational Chemistry,,2019,40,3,619-624,,https://doi.org/10.1002/jcc.25546,https://onlinelibrary.wiley.com/doi/abs/10.1002/jcc.25546,,,"automation, visual basic for applications, spreadsheet, activation strain model, distortion-interaction model","The distortion/interaction-activation strain model (D/I-ASM), a fragment analysis method, is applied to study the structure–reactivity relationship in reactions. The application of D/I-ASM involves the generation of input files for points along a reaction profile, submission of input files to a quantum software package, processing of parameters from the resulting output files and generation of graphical plots. The ExcelAutomat tool (Laloo et al., J. Comput. Aided Mol. Des. 2017, 31, 667) provides a framework and library in Visual Basic for Application programming language to process such files. New routines were written in ExcelAutomat 1.3 to facilitate processing of files for D/I-ASM. The worksheet “ASM” was included where initial parameters needed can be defined. The routines for D/I-ASM were tested successfully on bimolecular nucleophilic substitution, cycloaddition, and barrierless reactions. The automation of fragment analysis by ExcelAutomat 1.3 is compatible with Microsoft Excel and LibreOffice Calc. The extensible tool processes files from Gaussian and GAMESS-US packages. © 2018 Wiley Periodicals, Inc.",pericles_exported_citations (1).bib,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/jcc.25546,
article,https://doi.org/10.1002/qute.202300043,"Kordzanganeh, Mohammad and Buchberger, Markus and Kyriacou, Basil and Povolotskii, Maxim and Fischer, Wilhelm and Kurkin, Andrii and Somogyi, Wilfrid and Sagingalieva, Asel and Pflitsch, Markus and Melnikov, Alexey",Benchmarking Simulated and Physical Quantum Processing Units Using Quantum and Hybrid Algorithms,Advanced Quantum Technologies,,2023,6,8,2300043,,https://doi.org/10.1002/qute.202300043,https://onlinelibrary.wiley.com/doi/abs/10.1002/qute.202300043,,,"hardware and software benchmarking, hybrid quantum-classical algorithms, quantum algorithms, quantum processing units, simulated quantum processing units","Abstract Powerful hardware services and software libraries are vital tools for quickly and affordably designing, testing, and executing quantum algorithms. A robust large-scale study of how the performance of these platforms scales with the number of qubits is key to providing quantum solutions to challenging industry problems. This work benchmarks the runtime and accuracy for a representative sample of specialized high-performance simulated and physical quantum processing units. Results show the QMware simulator can reduce the runtime for executing a quantum circuit by up to 78\% compared to the next fastest option for algorithms with fewer than 27 qubits. The Amazon Web Service State-Vector Simulator 1 offers a runtime advantage for larger circuits, up to the maximum 34 qubits. Beyond this limit, QMware can execute circuits as large as 40 qubits. Physical quantum devices, such as Rigetti's Aspen-M2, can provide an exponential runtime advantage for circuits with more than 30 qubits. However, the high financial cost of physical quantum processing units presents a serious barrier to practical use. Moreover, only IonQ's Harmony quantum device achieves high fidelity with more than four qubits. This study paves the way to understanding the optimal combination of available software and hardware for executing practical quantum algorithms.",pericles_exported_citations (1).bib,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/qute.202300043,
article,https://doi.org/10.1002/wcms.1364,"Motta, Mario and Zhang, Shiwei",Ab initio computations of molecular systems by the auxiliary-field quantum Monte Carlo method,WIREs Computational Molecular Science,,2018,8,5,e1364,,https://doi.org/10.1002/wcms.1364,https://onlinelibrary.wiley.com/doi/abs/10.1002/wcms.1364,,,"ab initio methods, auxiliary-field quantum Monte Carlo, back-propagation, computational quantum chemistry, constrained path approximation, electronic structure, importance sampling, phase problem, phaseless approximation, quantum many-body computation, quantum Monte Carlo methods, sign problem","The auxiliary-field quantum Monte Carlo (AFQMC) method provides a computational framework for solving the time-independent Schrödinger equation in atoms, molecules, solids, and a variety of model systems. AFQMC has recently witnessed remarkable growth, especially as a tool for electronic structure computations in real materials. The method has demonstrated excellent accuracy across a variety of correlated electron systems. Taking the form of stochastic evolution in a manifold of nonorthogonal Slater determinants, the method resembles an ensemble of density-functional theory (DFT) calculations in the presence of fluctuating external potentials. Its computational cost scales as a low-power of system size, similar to the corresponding independent-electron calculations. Highly efficient and intrinsically parallel, AFQMC is able to take full advantage of contemporary high-performance computing platforms and numerical libraries. In this review, we provide a self-contained introduction to the exact and constrained variants of AFQMC, with emphasis on its applications to the electronic structure of molecular systems. Representative results are presented, and theoretical foundations and implementation details of the method are discussed. This article is categorized under: Electronic Structure Theory > Ab Initio Electronic Structure Methods Structure and Mechanism > Computational Materials Science Computer and Information Science > Computer Algorithms and Programming",pericles_exported_citations (1).bib,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/wcms.1364,
article,https://doi.org/10.1155/2016/5718124,"Lee, Y. H. and Khalil-Hani, M. and Marsono, M. N.",An FPGA-Based Quantum Computing Emulation Framework Based on Serial-Parallel Architecture,International Journal of Reconfigurable Computing,,2016,2016,1,5718124,,https://doi.org/10.1155/2016/5718124,https://onlinelibrary.wiley.com/doi/abs/10.1155/2016/5718124,,,,"Hardware emulation of quantum systems can mimic more efficiently the parallel behaviour of quantum computations, thus allowing higher processing speed-up than software simulations. In this paper, an efficient hardware emulation method that employs a serial-parallel hardware architecture targeted for field programmable gate array (FPGA) is proposed. Quantum Fourier transform and Grover’s search are chosen as case studies in this work since they are the core of many useful quantum algorithms. Experimental work shows that, with the proposed emulation architecture, a linear reduction in resource utilization is attained against the pipeline implementations proposed in prior works. The proposed work contributes to the formulation of a proof-of-concept baseline FPGA emulation framework with optimization on datapath designs that can be extended to emulate practical large-scale quantum circuits.",pericles_exported_citations (1).bib,,https://onlinelibrary.wiley.com/doi/pdf/10.1155/2016/5718124,
