StudyID,Title,DOI,doi_key,title,doi,search_strings,repositories
2,|Lib>: A Cross-Platform Programming Framework for Quantum-Accelerated Scientific Computing,10.1007/978-3-030-50433-5_35,10.1007/978-3-030-50433-5_35,: A Cross-Platform Programming Framework for Quantum-Accelerated Scientific Computing,10.1007/978-3-030-50433-5_35,ss2;ss4;ss6,springer
5,A Design Framework for the Simulation of Distributed Quantum Computing,10.1145/3659996.3660035,10.1145/3659996.3660035,A Design Framework for the Simulation of Distributed Quantum Computing,10.1145/3659996.3660035,ss6,acm
6,A Guide for Quantum Web Services Deployment,10.1007/978-3-031-09917-5_42,10.1007/978-3-031-09917-5_42,A Guide for&#xa0;Quantum Web Services Deployment,10.1007/978-3-031-09917-5_42,ss2;ss4;ss6,springer
7,A Model-Driven Framework for Composition-Based Quantum Circuit Design,10.1145/3688856,10.1145/3688856,A Model-Driven Framework for Composition-Based Quantum Circuit Design,10.1145/3688856,ss4;ss6,acm
8,A Novel Scheduling Framework for Multi-Programming Quantum Computing in Cloud Environment,10.32604/cmc.2024.048956,10.32604/cmc.2024.048956,A Novel Scheduling Framework for Multi-Programming Quantum Computing in Cloud Environment,10.32604/cmc.2024.048956,ss2;ss6,sciencedirect
9,A QIR Toolchain with XACC,10.1109/qce57702.2023.10213,10.1109/qce57702.2023.10213,A QIR Toolchain with XACC,10.1109/qce57702.2023.10213,ss6,ieeexplore
11,A Simulation Framework for Workload Management in Hybrid Quantum-HPC Cloud System,10.1145/3731599.3767548,10.1145/3731599.3767548,A Simulation Framework for Workload Management in Hybrid Quantum-HPC Cloud System,10.1145/3731599.3767548,ss6,acm;ieeexplore
12,A Software Platform to Support Disaggregated Quantum Accelerators,10.1109/SCW63240.2024.00205,10.1109/scw63240.2024.00205,A Software Platform to Support Disaggregated Quantum Accelerators,10.1109/scw63240.2024.00205,ss6,acm;ieeexplore
16,Choreography and Profiling of Quantum-Classical FaaS Workflows on Hybrid Clouds,10.1109/CCGRID64434.2025.00069,10.1109/ccgrid64434.2025.00069,Choreography and Profiling of Quantum-Classical FaaS Workflows on Hybrid Clouds,10.1109/ccgrid64434.2025.00069,ss2;ss6,ieeexplore
17,CUDA Quantum: The Platform for Integrated Quantum-Classical Computing,10.1109/DAC56929.2023.10247886,10.1109/dac56929.2023.10247886,CUDA Quantum: The Platform for Integrated Quantum-Classical Computing,10.1109/dac56929.2023.10247886,ss4;ss6,acm;ieeexplore
18,Classi|Q>: Towards a Translation Framework to Bridge the Classical-Quantum Programming Gap,10.1145/3663531.3664752,10.1145/3663531.3664752,𝐶𝑙𝑎𝑠𝑠𝑖|𝑄⟩: Towards a Translation Framework to Bridge the Classical-Quantum Programming Gap,10.1145/3663531.3664752,ss6,acm
19,Developing hybrid quantum-classical software: a software product line approach,10.1145/3643667.3648224,10.1145/3643667.3648224,Developing hybrid quantum-classical software: a software product line approach,10.1145/3643667.3648224,ss6,acm
20,Eclipse Qrisp QAOA: Description and Preliminary Comparison with Qiskit Counterparts,10.1007/978-3-031-85884-0_12,10.1007/978-3-031-85884-0_12,Eclipse Qrisp QAOA: Description and&#xa0;Preliminary Comparison with&#xa0;Qiskit Counterparts,10.1007/978-3-031-85884-0_12,ss4;ss6,springer
22,Extending C++ for Heterogeneous Quantum-Classical Computing,10.1145/3462670,10.1145/3462670,Extending C++ for Heterogeneous Quantum-Classical Computing,10.1145/3462670,ss4;ss6,acm
