StudyID,Title,DOI,doi_key,Publisher,Abstract_Normalized
1,Q|SI>: A Quantum Programming Environment,10.1007/978-3-030-01461-2_8,,Springer-Verlag,this paper describes a quantum programming environment named it is a platform embedded in the net language that supports quantum programming using a quantum extension of the language the framework of the platform includes a compiler of the quantum language and a suite of tools for simulating quantum computation optimizing quantum circuits and analyzing and verifying quantum programs throughout the paper using to simulate quantum behaviors on classical platforms with a combination of components is demonstrated the scalable framework allows the user to program customized functions on the platform the compiler works as the core of bridging the gap from quantum hardware to quantum software the builtin decomposition algorithms enable the universal quantum computation on the present quantum hardware
4,A cross-platform execution engine for the quantum intermediate representation,10.1007/s11227-025-07969-2,,Springer-Verlag,hybrid languages like the quantum intermediate representation qir are essential for programming systems that mix quantum and conventional computing models while execution of these programs is often deferred to a systemspecific implementation here we develop the qir execution engine qiree for parsing interpreting and executing qir across multiple hardware platforms qiree uses llvm to execute hybrid instructions specifying quantum programs and by design presents extension points that support customized runtime and hardware environments we demonstrate an implementation that uses the xacc quantum hardwareaccelerator library to dispatch prototypical quantum programs on different commercial quantum platforms and numerical simulators and we validate execution of qiree on ionq quantinuum and ibm hardware our results highlight the efficiency of hybrid executable architectures for handling mixed instructions managing mixed data and integrating with quantum computing frameworks to realize crossplatform execution
5,A Design Framework for the Simulation of Distributed Quantum Computing,10.1145/3659996.3660035,,ACM,the growing demand for largescale quantum computers is pushing research on distributed quantum computing dqc recent experimental efforts have demonstrated some of the building blocks for such a design dqc systems are clusters of quantum processing units qpus connected by means of quantum network infrastructures their extension ranges from the single box to the geographical scale furthermore they can be integrated with classical high performance computing systems simulation modeling of dqc architectures provides a safe way to test and explore different whatif scenarios many simulation tools have been developed to support the research community in designing and evaluating quantum computer and quantum network technologies including hardware protocols and applications however a framework for dqc simulation putting equal emphasis on computational and networking aspects has never been proposed so far in this paper a design framework for dqc simulation is presented whose core component is an execution manager that schedules dqc jobs for running on networked quantum computers two metrics are proposed for evaluating the impact of the job scheduling algorithms with respect to qpu utilization and quantum network utilization beyond the traditional concept of makespan the discussion is supported by a dqc job scheduling example where two different strategies are compared in terms of the proposed metrics
7,A Model-Driven Framework for Composition-Based Quantum Circuit Design,10.1145/3688856,,ACM,quantum programming languages support the design of quantum applications however to create such programs one needs to understand the fundamental characteristics of quantum computing and quantum information theory furthermore quantum algorithms frequently make use of abstract operations with a hidden lowlevel realization eg quantum fourier transform thus turning from elementary quantum operations to a higherlevel view of quantum circuit design not only reduces the development effort but also lowers the entry barriers for nonquantum computing experts to this end this article proposes a modeling language and design framework for quantum circuits this allows the definition of composite operators to advocate a higherlevel quantum algorithm design together with automated code generation for the circuit execution to demonstrate the benefits of the proposed approach coined compositionbased quantum circuit designer we applied it for realizing the quantum counting algorithm and the quantum approximate optimization algorithm our evaluation results show that compared to an existing stateoftheart editor the proposed approach allows for the realization of both quantum algorithms on a high level with a substantially reduced development effort in particular the proposed approach shows constant scaling when increasing the size of the investigated quantum circuits and a lower change criticality when evolving existing quantum circuits
9,A QIR Toolchain with XACC,10.1109/qce57702.2023.10213,,IEEE,we present a workinprogress to create a software toolchain that links the quantum intermediate representation qir to the hardwareagnostic execution framework xacc the novelty of this work is an implementation of the qir specification for use in the xacc framework by translating the qir to an xacc intermediate representation xir and then illustrating how this toolchain will be able to represent both quantum and classical computations the anticipated impact includes the expansion of quantum programming languages that can be executed on quantum computing hardware and the utilization of qpu hardware agnostic properties of xacc framework
11,A Simulation Framework for Workload Management in Hybrid Quantum-HPC Cloud System,10.1145/3731599.3767548,,ACM,the convergence of quantum computing and highperformance computing hpc is giving rise to hybrid cloud platforms that coordinate workflows across classical and quantum resources these heterogeneous environments introduce new challenges for workload management including device variability noiseprone quantum processors and the need for synchronized orchestration across distributed systems this survey reviews stateoftheart techniques for scheduling resource allocation and workflow management in classical hpc quantum clouds and emerging hybrid infrastructures a taxonomy is proposed to categorize workload management approaches by scheduling strategy allocation model orchestration mechanism and performance metric we present hybridcloudsim a novel simulation framework designed to model hybrid quantum–hpc cloud environments and optimize resource usage under realistic constraints hybridcloudsim is a conceptual foundation and a practical tool for advancing workload management in hybrid quantum–hpc systemsccs concepts• computing methodologies → model development and analysis distributed computing methodologies
12,A Software Platform to Support Disaggregated Quantum Accelerators,10.1109/SCW63240.2024.00205,,IEEE,quantum computers are making their way into high performance computing hpc centers as nextgeneration accelerators due to their physical implementation as mostly large appliances in separate racks their number in typical data centers is significantly lower than the number of nodes offloading work to them unlike the case with gpu accelerators as a consequence they form largescale disaggregated infrastructures that pose a number of integration challenges due to their diverse implementation technologies and their need to be used as a shared resource for optimal utilization running hybrid high performance computingquantum computing hpcqc applications in hpc environments where the quantum portion is offloaded to the quantum processing units qpus requires sophisticated resource management strategies to optimize resource utilization and performance in this paper we present one aspect of the munich quantum software stack mqss a justintime jit compilation and execution software stack for quantum and hybrid quantumhpc workloads beneficial for integrating disaggregated quantum accelerators into traditional hpc workflows mqss is centered around a series of novel contributions aimed at optimizing the compilation process while managing the disaggregated resources ensuring efficient utilization of all available quantum resources the key stages of our jit compilation stack involve hardwareagnostic optimizations quantum circuit cutting – when necessary – and a novel hardware platform selection process included here is description of the use of the mqss’s quantum device management interface qdmi a unified interface between the software stack and the quantum accelerators which allows connection to several potentially different quantum resources our methodology demonstrates notable advancements in hpcqc integration workflows offering researchers a powerful framework for leveraging quantum computational capabilities overall our work represents a significant step towards the practical integration of disaggregated quantum devices within the realm of supercomputing unlocking new avenues for computational exploration and discovery
16,Choreography and Profiling of Quantum-Classical FaaS Workflows on Hybrid Clouds,10.1109/CCGRID64434.2025.00069,,IEEE,quantum computing is entering the mainstream as part of cloud offerings where it serves as a specialpurpose accelerator in larger applications however it is still challenging for developers and researchers to design build and manage the resources for hybrid quantumclassical hqc applications that include both classical logic x86 arm and quantum circuit blocks and run across both traditional and quantum processors further quantum hardware is available on public cloud and even onpremise as private clouds with varying capabilities costs and queue times further such quantum circuits also expose optimization methods that offer cost time accuracy and parallelism tradeoffs so there is a compelling for easy composition of hqc applications that can be effortlessly and efficiently deployed on hybrid clouds in this paper we propose a framework to intuitively compose and deploy “zerotouch” quantumclassical functionasaservice faas workflows through various workflow patterns that leverage diverse cloud system workflow partitioning adaptive polling and quantum circuit cutting qubit reuse optimizations these utilize our xfaas faas workflow framework for hybrid cloud deployments on aws and azure and ibm qiskit sdk for the quantum circuit toolchain we also offer detailed experimental profiling of these optimizations for realistic and synthetic hqc applications on real clouds and on real and simulated quantum hardware and analyze the benefits of cloud system and quantum circuit optimizations our results demonstrate up to 53 improvement in time and 80 in cost when quantum circuit optimization on hardware is used in conjunction with dynamic fanout
17,CUDA Quantum: The Platform for Integrated Quantum-Classical Computing,10.1109/DAC56929.2023.10247886,,IEEE,a critical challenge to making quantum computers work in practice is effectively combining them with classical computing resources from the classical side of hybrid algorithms and integrated application workflows to decoding syndromes for quantum error correction tightly coupled high performance classical computing will be important for many of the functions required to realize useful quantum computing a key tool for enabling research and application development is a programming model and software toolchain which allow researchers to straightforwardly coprogram classical and quantum computers and leverage the best tools available for each nvidia cuda quantum is a singlesource programming model in c and python for heterogeneous quantumclassical computing the cuda quantum platform provides several advantages and new capabilities that enable users to get more out of quantum processors here we present cuda quantum and demonstrate several use cases including variational quantum eigensolver vqe where it provides a significant 287x performance and capability benefit over existing quantum programming
18,Classi|Q>: Towards a Translation Framework to Bridge the Classical-Quantum Programming Gap,10.1145/3663531.3664752,,ACM,quantum computing albeit readily available as hardware or emulated on the cloud is still far from being available in general regarding complex programming paradigms and learning curves this vision paper introduces classiq⟩ a translation framework idea to bridge classical and quantum computing by translating highlevel programming languages eg python or c into a lowlevel language eg quantum assembly our idea paper serves as a blueprint for ongoing efforts in quantum software engineering offering a roadmap for further classiq⟩ development to meet the diverse needs of researchers and practitioners classiq⟩ is designed to empower researchers and practitioners with no prior quantum experience to harness the potential of hybrid quantum computation we also discuss future enhancements to classiq⟩ including support for additional quantum languages improved optimization strategies and integration with emerging quantum computing platforms
19,Developing hybrid quantum-classical software: a software product line approach,10.1145/3643667.3648224,,ACM,quantum computing is rapidly emerging as a transformative force in technology in the near future we will increasingly encounter hybrid systems that combine quantum technology with classical software software engineering techniques will be needed to manage the complexity of designing such systems and their reuse this paper introduces preliminary ideas for developing quantumclassical software using a software product line approach in line with the modeldriven engineering principles this approach addresses the mentioned challenges and drafts a framework for developing hybrid quantumclassical software the preliminary insights show the feasibility and suitability of applying the proposed approach for developing complex quantumclassical software systems with high levels of variabilityccs concepts• software and its engineering → software design tradeoffs software system models
22,Extending C++ for Heterogeneous Quantum-Classical Computing,10.1145/3462670,,ACM,we present qcor—a language extension to c and compiler implementation that enables heterogeneous quantumclassical programming compilation and execution in a singlesource context our work provides a firstofitskind c compiler enabling highlevel quantum kernel function expression in a quantumlanguage agnostic manner as well as a hardwareagnostic retargetable compiler workflow targeting a number of physical and virtual quantum computing backends qcor leverages novel clang plugin interfaces and builds upon the xacc systemlevel quantum programming framework to provide a stateoftheart integration mechanism for quantumclassical compilation that leverages the best from the community atlarge qcor translates quantum kernels ultimately to the xacc intermediate representation and provides userextensible hooks for quantum compilation routines like circuit optimization analysis and placement this work details the overall architecture and compiler workflow for qcor and provides a number of illuminating programming examples demonstrating its utility for nearterm variational tasks quantum algorithm expression and feedforward error correction schemes
24,HetArch: Heterogeneous Microarchitectures for Superconducting Quantum Systems,10.1145/3613424.3614300,,ACM,noisy intermediatescale quantum computing nisq has dominated headlines in recent years with the longerterm vision of faulttolerant quantum computation ftqc offering significant potential albeit at currently intractable resource costs and quantum error correction qec overheads for problems of interest ftqc will require millions of physical qubits with long coherence times highfidelity gates and compact sizes to surpass classical systems just as heterogeneous specialization has offered scaling benefits in classical computing it is likewise gaining interest in ftqc however systematic use of heterogeneity in either hardware or software elements of ftqc systems remains a serious challenge due to the vast design space and variable physical constraints
30,iQuantum: A Case for Modeling and Simulation of Quantum Computing Environments,10.1109/QSW59989.2023.00013,,IEEE,today’s quantum computers are primarily accessible through the cloud and are expected to be deployed in edge networks in the near future with the rapid advancement and proliferation of quantum computing research worldwide there has been a considerable increase in demand for using cloudbased quantum computation resources this demand has highlighted the need for designing efficient and adaptable resource management strategies and service models for quantum computing however the limited quantity quality and accessibility of quantum resources pose significant challenges to practical research in quantum software and systems to address these challenges we propose iquantum a firstofitskind simulation toolkit that can model quantum computing environments for prototyping and evaluating system design and scheduling algorithms this paper presents the quantum computing system model architectural design proofofconcept implementation potential use cases and future development of iquantum our proposed iquantum simulator is anticipated to boost research in quantum software and systems particularly in the creation and evaluation of policies and algorithms for resource management job scheduling and hybrid quantumclassical task orchestration in quantum computing environments integrating edge and cloud resources
32,isQ: An Integrated Software Stack for Quantum Programming,10.1109/tqe.2023.3275868,,IEEE,we introduce isq a new software stack for quantum programming in an imperative programming language also named isq the aim of isq is to make programmers write quantum programs as conveniently as possible in particular 1 the isq language and its compiler contain many useful features including but not limited to classical control flow such as recursion decomposition of selfdefined unitary gates and oracle programming and its circuit realization 2 to make it flexible an isq program can be compiled into several different kinds of intermediate representation and assemblies including qir eqasm openqasm 30 and qcis specially tailored for the superconducting quantum hardware at the university of science and technology of china 3 besides interfacing isq with real superconducting hardware a qir simulator is also developed for the demonstration and testing of isq programs the isq software stack encompasses abundant compiler optimizations of highlevel quantum programs to realize it a distinct multilevel intermediate representation mlir dialect name isqir is proposed
35,Logical abstractions for noisy variational Quantum algorithm simulation,10.1145/3445814.3446750,,ACM,due to the unreliability and limited capacity of existing quantum computer prototypes quantum circuit simulation continues to be a vital tool for validating next generation quantum computers and for studying variational quantum algorithms which are among the leading candidates for useful quantum computation existing quantum circuit simulators do not address the common traits of variational algorithms namely 1 their ability to work with noisy qubits and operations 2 their repeated execution of the same circuits but with different parameters and 3 the fact that they sample from circuit final wavefunctions to drive a classical optimization routine we present a quantum circuit simulation toolchain based on logical abstractions targeted for simulating variational algorithms our proposed toolchain encodes quantum amplitudes and noise probabilities in a probabilistic graphical model and it compiles the circuits to logical formulas that support efficient repeated simulation of and sampling from quantum circuits for different parameters compared to stateoftheart state vector and density matrix quantum circuit simulators our simulation approach offers greater performance when sampling from noisy circuits with at least eight to 20 qubits and with around 12 operations on each qubit making the approach ideal for simulating nearterm variational quantum algorithms and for simulating noisefree shallow quantum circuits with 32 qubits our simulation approach offers a 66× reduction in sampling cost versus quantum circuit simulation techniques based on tensor network contraction
37,MQT Predictor: Automatic Device Selection with Device-Specific Circuit Compilation for Quantum Computing,10.1145/3673241,,ACM,fueled by recent accomplishments in quantum computing hardware and software an increasing number of problems from various application domains are being explored as potential use cases for this new technology similarly to classical computing realizing an application on a particular quantum device requires the corresponding quantum circuit to be compiled so that it can be executed on the device with a steadily growing number of available devices—each with their own advantages and disadvantages—and a wide variety of different compilation tools the number of choices to consider when trying to realize an application is quickly exploding due to missing tool support and automation especially endusers who are not quantum computing experts are easily left unsupported and overwhelmed in this work we propose a methodology that allows one to automatically select a suitable quantum device for a particular application and provides an optimized compiler for the selected device the resulting framework—called the mqt predictor—not only supports endusers in navigating the vast landscape of choices it also allows mixing and matching compiler passes from various tools to create optimized compilers that transcend the individual tools evaluations of an exemplary framework instantiation based on more than 500 quantum circuits and seven devices have shown that—compared with both qiskit’s and tket’s most optimized compilation flows for all devices—the mqt predictor produces circuits within the top3 out of 14 baselines in more than 98 of cases while frequently outperforming any tested combination by up to 53 when optimizing for expected fidelity additionally the framework is trained and evaluated for critical depth as another figure of merit to showcase its flexibility and generalizability—producing circuits within the top3 in 89 of cases while frequently outperforming any tested combination by up to 400 mqt predictor is part of the munich quantum toolkit mqt and publicly available as opensource on github httpsgithubcomcdatummqtpredictor and as an easytouse python package httpspypiorgpmqtpredictor
38,NordIQuEst: The Nordic-Estonian Quantum Computing e-Infrastructure Quest,10.1007/978-3-031-86240-3_8,,Springer-Verlag,this paper presents the nordicestonian quantum computing einfrastructure quest nordiquest an international collaboration of scientific and academic organizations from denmark estonia finland norway and sweden working together to develop a hybrid highperformance and quantum computing hpcqc infrastructure the project leverages existing and upcoming classical highperformance computing and quantum computing systems facilitating the development of interconnected systems our effort pioneers a forwardlooking architecture for both hardware and software capabilities representing an earlystage development in hybrid computing infrastructure here we detail the outline of the initiative summarizing the progress since the project outset and describing the framework established moreover we identify the crucial challenges encountered and potential strategies employed to address them
