StudyID,Title,DOI,doi_key
1,Q|SI>: A Quantum Programming Environment,10.1007/978-3-030-01461-2_8,10.1007/978-3-030-01461-2_8
4,A cross-platform execution engine for the quantum intermediate representation,10.1007/s11227-025-07969-2,10.1007/s11227-025-07969-2
10,A Quantum Framework for Combinatorial Optimization Problem over Graphs,10.1007/s41019-024-00269-4,10.1007/s41019-024-00269-4
13,A versatile single-photon-based quantum computing platform,10.1038/s41566-024-01403-4,10.1038/s41566-024-01403-4
14,"An open-source, industrial-strength optimizing compiler for quantum programs",10.1088/2058-9565/ab9acb,10.1088/2058-9565/ab9acb
32,isQ: An Integrated Software Stack for Quantum Programming,10.1109/tqe.2023.3275868,10.1109/tqe.2023.3275868
35,Logical abstractions for noisy variational Quantum algorithm simulation,10.1145/3445814.3446750,10.1145/3445814.3446750
43,Perceval: A Software Platform for Discrete Variable Photonic Quantum Computing,10.22331/q-2023-02-21-931,10.22331/q-2023-02-21-931
44,PlanQK - Platform and Ecosystem for Quantum Applications,10.1007/s13218-024-00865-6,10.1007/s13218-024-00865-6
46,ProjectQ: an open source software framework for quantum computing,10.22331/q-2018-01-31-49,10.22331/q-2018-01-31-49
50,Qibo: a framework for quantum simulation with hardware acceleration,10.1088/2058-9565/ac39f5,10.1088/2058-9565/ac39f5
52,"QISKit, Awesome SDK for Quantum Programming in Python",10.1007/978-1-4842-4218-6_4,10.1007/978-1-4842-4218-6_4
53,"Qiskit, Awesome SDK for Quantum Programming in Python",10.1007/978-1-4842-9991-3_6,10.1007/978-1-4842-9991-3_6
56,QOPS: a compiler framework for quantum circuit simulation acceleration with profile-guided optimizations,10.1007/s11227-025-07157-2,10.1007/s11227-025-07157-2
57,QSandbox: The Agile Quantum Software Sandbox,10.1007/978-3-031-64136-7_4,10.1007/978-3-031-64136-7_4
59,Qsun: an open-source platform towards practical quantum machine learning applications,10.1088/2632-2153/ac5997,10.1088/2632-2153/ac5997
60,QuaCiDe: A General Purpose Quantum Circuit Design and Simulation Interface,10.1145/3665870.3665874,10.1145/3665870.3665874
62,Quantum Inspire: QuTech's platform for co-development and collaboration in quantum computing,10.1117/12.2551853,10.1117/12.2551853
63,Quantum Mini-Apps: A Framework for Developing and Benchmarking Quantum-HPC Applications,10.1145/3659996.3660036,10.1145/3659996.3660036
66,Quantum Software Ecosystem Design,10.1007/978-3-031-64136-7_7,10.1007/978-3-031-64136-7_7
67,Quantum software framework: a tentative study,10.1007/s11704-012-2168-x,10.1007/s11704-012-2168-x
68,Quantum++: A modern C++ quantum computing library,10.1371/journal.pone.0208073,10.1371/journal.pone.0208073
71,QUASIM: Quantum Computing Enhanced Service Ecosystem for Simulation in Manufacturing,10.1007/s13218-024-00860-x,10.1007/s13218-024-00860-x
76,Qunicorn: A Middleware for the Unified Execution Across Heterogeneous Quantum Cloud Offerings,10.1109/q-se66736.2025.00009,10.1109/q-se66736.2025.00009
82,Software for Massively Parallel Quantum Computing,10.1007/978-3-031-37966-6_6,10.1007/978-3-031-37966-6_6
83,Strawberry Fields: A Software Platform for Photonic Quantum Computing,10.22331/q-2019-03-11-129,10.22331/q-2019-03-11-129
84,t|ket>: a retargetable compiler for NISQ devices,10.1088/2058-9565/ab8e92,10.1088/2058-9565/ab8e92
88,Toolchain for faster iterations in quantum software development,10.1007/s00607-025-01450-x,10.1007/s00607-025-01450-x
90,Towards Higher-Level Abstractions for Quantum Computing,10.1145/3511616.3513106,10.1145/3511616.3513106
92,Trusted Execution Environments for Quantum Computers,10.1145/3658644.3690855,10.1145/3658644.3690855
93,tweedledum: a compiler companion for quantum computing,10.23919/DATE54114.2022.9774510,10.23919/date54114.2022.9774510
96,XACC: a system-level software infrastructure for heterogeneous quantum–classical computing,10.1088/2058-9565/ab6bf6,10.1088/2058-9565/ab6bf6
97,"Yao.jl: Extensible, Efficient Framework for Quantum Algorithm Design",10.22331/q-2020-10-11-341,10.22331/q-2020-10-11-341
